BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.06110551 0.0003008117
1.5 0.07923991 0.000342552
2.5 0.09243719 0.0003699797
3.5 0.09583868 0.0003767254
4.5 0.08980129 0.0003646664
5.5 0.07985002 0.0003438682
6.5 0.06827575 0.0003179712
7.5 0.05743746 0.0002916434
8.5 0.04832287 0.0002675044
9.5 0.0418353 0.0002489006
10.5 0.03550025 0.0002292821
11.5 0.03088298 0.0002138524
12.5 0.02708314 0.0002002645
13.5 0.02368608 0.0001872842
14.5 0.02108721 0.0001767112
15.5 0.01812996 0.0001638525
16.5 0.0160553 0.0001541927
17.5 0.01427237 0.0001453793
18.5 0.01268046 0.000137032
19.5 0.01086198 0.0001268262
20.5 0.009530706 0.0001188002
21.5 0.00860666 0.0001128943
22.5 0.007339058 0.0001042497
23.5 0.006511267 9.819452e-05
24.5 0.005587221 9.096042e-05
25.5 0.005015615 8.618201e-05
26.5 0.004523976 8.184924e-05
27.5 0.003833903 7.534858e-05
28.5 0.003257855 6.94577e-05
29.5 0.002886163 6.537549e-05
30.5 0.002440429 6.011566e-05
31.5 0.001963104 3.112903e-05
34.5 0.001085754 1.793227e-05
39.5 0.0003810209 7.511539e-06
49.5 7.5523e-05 3.344215e-06
59.5 1.584502e-05 1.531796e-06
69.5 3.405939e-06 7.101874e-07
79.5 3.702108e-07 1.655633e-07
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.250181 0.001040149
0.6 0.7903877 0.0007600566
0.7 0.5031456 0.0005641636
0.8 0.3229358 0.0004243365
0.9 0.2109855 0.0003242916
1.0 0.1409709 0.0002520546
1.1 0.09735629 0.0002000929
1.2 0.06899228 0.0001615133
1.3 0.0498184 0.0001320483
1.4 0.03681486 0.0001095092
1.5 0.02769488 9.185835e-05
1.6 0.02102546 7.756434e-05
1.7 0.01626857 6.62449e-05
1.8 0.01274243 5.701734e-05
1.9 0.01003168 4.927449e-05
2.0 0.007980163 4.285759e-05
2.1 0.006321826 3.724669e-05
2.2 0.00516158 3.289971e-05
2.3 0.004104158 2.870539e-05
2.4 0.003371803 2.548002e-05
2.5 0.002436659 1.325785e-05
2.75 0.001529241 1.003317e-05
3.0 0.000997441 7.769696e-06
3.25 0.0006655146 6.106253e-06
3.5 0.0003945809 3.164206e-06
4.0 0.0001972196 2.099156e-06
4.5 0.0001060463 1.455399e-06
5.0 4.90775e-05 6.543739e-07
6.0 1.853666e-05 3.691164e-07
7.0 8.091179e-06 2.265866e-07
8.0 3.751787e-06 1.448081e-07
9.0 2.291281e-06 1.068795e-07
10.0 5.128055e-07 2.058726e-08
15.0 6.788786e-08 6.165176e-09
20.0 9.652721e-09 1.412786e-09
30.0 5.321429e-10 1.895456e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 1.662659e-05 4.611387e-06
3.0 0.0002954418 1.943864e-05
5.0 0.002180642 5.281072e-05
7.0 0.009910728 0.0001125856
9.0 0.02967335 0.0001948109
11.0 0.06345603 0.0002848829
13.0 0.1015987 0.0003604741
15.0 0.1287691 0.0004058222
17.0 0.1375441 0.0004194218
19.0 0.128718 0.0004057416
21.0 0.1095002 0.0003742289
23.0 0.08737146 0.0003342834
25.0 0.06646544 0.00029156
27.0 0.04704558 0.0002452954
29.0 0.03259963 0.0002041909
31.0 0.02142145 0.0001655215
33.0 0.0136888 0.0001323161
35.0 0.008337597 0.0001032643
37.0 0.005048089 8.03514e-05
39.0 0.002972323 6.165637e-05
41.0 0.00157441 4.487339e-05
43.0 0.0008760935 3.347381e-05
45.0 0.0005064716 2.545115e-05
47.0 0.0002391671 1.748963e-05
49.0 9.080677e-05 1.077678e-05
51.0 5.115875e-05 8.088908e-06
53.0 3.197422e-05 6.394843e-06
55.0 1.023175e-05 3.61747e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.01126132 0.0002683549
0.2 0.07380928 0.0006870217
0.4 0.2098851 0.001158526
0.6 0.4388014 0.001675132
0.8 0.758633 0.002202576
1.0 1.162947 0.002727061
1.2 1.629739 0.0032283
1.4 2.122442 0.003684112
1.6 2.633761 0.00410396
1.8 3.130212 0.00447406
2.0 3.624437 0.004814323
2.2 4.097739 0.005119023
2.4 4.552732 0.00539574
2.6 4.997986 0.005653436
2.8 5.426843 0.005890994
3.0 5.803781 0.006092148
3.2 6.112178 0.006251913
3.4 6.308487 0.006351518
3.6 6.366098 0.006380455
3.8 6.324538 0.006359594
4.0 6.085454 0.006238231
4.2 5.657921 0.006015107
4.4 5.07065 0.005694384
4.6 4.367256 0.005284687
4.8 3.609493 0.004804387
5.0 2.877238 0.004289462
5.2 2.188571 0.003741065
5.4 1.591254 0.003189956
5.6 1.116456 0.002671996
5.8 0.7561007 0.002198896
6.0 0.4953573 0.001779813
6.2 0.3211043 0.001432973
6.4 0.2050954 0.001145231
6.6 0.1364468 0.0009341069
6.8 0.09054458 0.0007609326
7.0 0.06373101 0.0006383963
7.2 0.04478309 0.0005351456
7.4 0.03378396 0.0004648044
7.6 0.0271525 0.0004166965
7.8 0.02093672 0.0003659058
8.0 0 0
END

BEGIN HISTO1D ALEPH_1996_I428072_d17-x01-y01
0.2 0.04028 0.0006346653
0.3 0.07858 0.0008864536
0.4 0.13678 0.00116953
0.5 0.21856 0.001478377
0.6 0.31849 0.001784629
0.7 0.44632 0.002112629
0.8 0.59265 0.00243444
0.9 0.75944 0.002755794
1.0 0.95133 0.003084364
1.1 1.16618 0.003414938
1.2 1.39402 0.003733658
1.3 1.63221 0.004040062
1.4 1.89116 0.004348747
1.5 2.16404 0.004651924
1.6 2.44224 0.004941902
1.7 2.73407 0.005228834
1.8 3.0115 0.005487714
1.9 3.31151 0.005754572
2.0 3.59259 0.005993822
2.1 3.87631 0.006226002
2.2 4.16008 0.006449868
2.3 4.42069 0.006648827
2.4 4.67603 0.00683815
2.5 4.93316 0.007023646
2.6 5.17244 0.007191968
2.7 5.4002 0.007348605
2.8 5.63414 0.007506091
2.9 5.8247 0.007631972
3.0 6.02408 0.007761495
3.1 6.18611 0.007865183
3.2 6.34022 0.00796255
3.3 6.49292 0.008057866
3.4 6.57831 0.008110678
3.5 6.63974 0.00814846
3.6 6.6679 0.008165721
3.7 6.66613 0.008164637
3.8 6.63154 0.008143427
3.9 6.55185 0.00809435
4.0 6.39356 0.007995974
4.1 6.20524 0.007877335
4.2 5.95057 0.007713994
4.3 5.6926 0.007544932
4.4 5.36859 0.007327066
4.5 5.0042 0.007074037
4.6 4.63384 0.006807231
4.7 4.26225 0.006528591
4.8 3.86824 0.006219518
4.9 3.46693 0.005888064
5.0 3.10245 0.005569964
5.1 2.7314 0.00522628
5.2 2.37614 0.004874567
5.3 2.05045 0.004528189
5.4 0 0
END

BEGIN HISTO1D EHS_1988_I265504_d06-x01-y01
0.0 583.3283 0.8385847
0.02 411.9383 0.7047035
0.04 314.6851 0.6159259
0.06 252.7072 0.5519493
0.08 209.338 0.5023593
0.1 175.5215 0.4599975
0.12 150.861 0.4264606
0.14 130.0257 0.3959177
0.16 113.065 0.3691938
0.18 99.60755 0.3465266
0.2 80.84336 0.1974434
0.25 61.521 0.1722392
0.3 47.54207 0.1514117
