BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.09569914 0.0003823777
1.5 0.1020458 0.0003948536
2.5 0.09641569 0.0003838066
3.5 0.08495691 0.0003602781
4.5 0.07075567 0.0003287904
5.5 0.06010206 0.0003030283
6.5 0.05110004 0.0002794146
7.5 0.04319196 0.0002568857
8.5 0.03798203 0.0002408949
9.5 0.03315101 0.0002250541
10.5 0.02998228 0.0002140281
11.5 0.02685632 0.0002025638
12.5 0.02470971 0.0001942998
13.5 0.02204975 0.0001835441
14.5 0.01989244 0.0001743342
15.5 0.01831113 0.0001672615
16.5 0.01667176 0.0001595987
17.5 0.01525545 0.0001526691
18.5 0.01395221 0.0001460024
19.5 0.01265813 0.0001390668
20.5 0.01162073 0.0001332463
21.5 0.01053291 0.0001268565
22.5 0.009600929 0.0001211142
23.5 0.008925625 0.0001167771
24.5 0.008121983 0.000111396
25.5 0.007420705 0.0001064783
26.5 0.006620119 0.0001005707
27.5 0.006079264 9.637492e-05
28.5 0.005546049 9.20514e-05
29.5 0.005070892 8.801987e-05
30.5 0.004502536 8.294059e-05
31.5 0.003772739 4.383352e-05
34.5 0.002530098 2.780496e-05
39.5 0.001143433 1.321734e-05
49.5 0.0003440689 7.250388e-06
59.5 0.0001051152 4.007479e-06
69.5 2.307034e-05 1.877438e-06
79.5 4.354336e-06 5.767459e-07
99.5 2.910166e-07 1.455083e-07
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.704065 0.001234903
0.6 0.9338119 0.0008398346
0.7 0.533739 0.0005904833
0.8 0.3234317 0.0004314162
0.9 0.2065573 0.000325929
1.0 0.1379138 0.0002532192
1.1 0.09516548 0.0002009425
1.2 0.06708787 0.0001617878
1.3 0.04835793 0.0001321484
1.4 0.03523433 0.0001088224
1.5 0.02610887 9.059297e-05
1.6 0.01970102 7.627479e-05
1.7 0.01502929 6.468036e-05
1.8 0.01144564 5.488683e-05
1.9 0.00890764 4.716454e-05
2.0 0.00690446 4.049677e-05
2.1 0.005466889 3.518347e-05
2.2 0.00430026 3.050389e-05
2.3 0.003532983 2.705031e-05
2.4 0.002827662 2.370249e-05
2.5 0.001950224 1.205027e-05
2.75 0.001199288 9.025876e-06
3.0 0.0007495797 6.841941e-06
3.25 0.0004938857 5.343387e-06
3.5 0.0002813948 2.714848e-06
4.0 0.0001359055 1.770344e-06
4.5 7.198826e-05 1.217896e-06
5.0 3.216918e-05 5.379869e-07
6.0 1.208162e-05 3.024276e-07
7.0 4.864956e-06 1.784877e-07
8.0 2.339803e-06 1.161901e-07
9.0 1.176163e-06 7.775536e-08
10.0 2.709128e-07 1.520326e-08
15.0 3.870147e-08 4.743952e-09
20.0 4.686933e-09 1.007291e-09
30.0 7.542431e-11 7.542431e-11
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 5.112481e-06 2.55624e-06
3.0 4.217797e-05 7.342242e-06
5.0 0.0003093051 1.988288e-05
7.0 0.001724184 4.694374e-05
9.0 0.006096634 8.827361e-05
11.0 0.01760611 0.0001500091
13.0 0.03876283 0.0002225838
15.0 0.06733265 0.0002933585
17.0 0.09629102 0.0003508155
19.0 0.1161543 0.000385304
21.0 0.120946 0.0003931711
23.0 0.1141643 0.0003819891
25.0 0.1012552 0.0003597449
27.0 0.08318134 0.000326061
29.0 0.06570049 0.0002897812
31.0 0.05100722 0.0002553299
33.0 0.03766365 0.0002194053
35.0 0.02705653 0.000185961
37.0 0.01917692 0.000156558
