BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.1235039 0.0004454622
1.5 0.09731918 0.00039543
2.5 0.07632414 0.0003501881
3.5 0.06160496 0.0003146142
4.5 0.04999799 0.0002834306
5.5 0.04272275 0.0002619993
6.5 0.03635531 0.0002416876
7.5 0.03149497 0.0002249526
8.5 0.02776256 0.000211203
9.5 0.02493473 0.0002001579
10.5 0.02230131 0.0001892935
11.5 0.02067049 0.0001822409
12.5 0.01881633 0.0001738753
13.5 0.01740884 0.0001672458
14.5 0.01594351 0.0001600525
15.5 0.01488307 0.0001546382
16.5 0.01383709 0.0001491052
17.5 0.01298714 0.0001444532
18.5 0.01223359 0.0001401998
19.5 0.01134185 0.0001349934
20.5 0.01098677 0.0001328634
21.5 0.01037621 0.0001291189
22.5 0.009791367 0.0001254273
23.5 0.00929971 0.0001222377
24.5 0.009167959 0.0001213687
25.5 0.008634527 0.0001177849
26.5 0.008528483 0.0001170594
27.5 0.008076994 0.0001139188
28.5 0.007831166 0.0001121718
29.5 0.007347542 0.0001086529
30.5 0.006899267 0.0001052863
31.5 0.006619161 5.954034e-05
34.5 0.005805088 4.319066e-05
39.5 0.004621577 2.724994e-05
49.5 0.003249918 2.285107e-05
59.5 0.002132121 1.850872e-05
69.5 0.001185601 1.380192e-05
79.5 0.0004214433 5.818687e-06
99.5 6.090243e-05 2.15863e-06
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 2.136039 0.001417149
0.6 1.277016 0.001006461
0.7 0.8173658 0.0007488507
0.8 0.5501565 0.000576744
0.9 0.3855839 0.0004564906
1.0 0.2773894 0.0003681793
1.1 0.2033413 0.0003011467
1.2 0.1508824 0.0002487658
1.3 0.1135827 0.0002076569
1.4 0.08600655 0.0001743433
1.5 0.06596339 0.0001476627
1.6 0.05096154 0.0001257858
1.7 0.03948348 0.0001075021
1.8 0.03082981 9.237778e-05
1.9 0.02418645 7.969713e-05
2.0 0.01921746 6.927932e-05
2.1 0.01510106 5.996375e-05
2.2 0.01221242 5.271317e-05
2.3 0.009702748 4.597464e-05
2.4 0.007853298 4.05058e-05
2.5 0.005450214 2.066081e-05
2.75 0.003297004 1.534931e-05
3.0 0.002061587 1.163805e-05
3.25 0.001311192 8.928298e-06
3.5 0.0007115344 4.42825e-06
4.0 0.0003316252 2.836566e-06
4.5 0.0001692304 1.916038e-06
5.0 7.172608e-05 8.244935e-07
6.0 2.500068e-05 4.465754e-07
7.0 1.094901e-05 2.746098e-07
8.0 4.889326e-06 1.723153e-07
9.0 2.718408e-06 1.21386e-07
10.0 6.009801e-07 2.320015e-08
15.0 5.568339e-08 5.824228e-09
20.0 5.75322e-09 1.135042e-09
30.0 6.726396e-10 2.253985e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 1.661747e-05 4.608858e-06
3.0 0.0002543752 1.803218e-05
5.0 0.001810026 4.810091e-05
7.0 0.008178354 0.0001022454
9.0 0.02425001 0.0001760625
11.0 0.05205871 0.0002579631
13.0 0.08522847 0.0003300678
15.0 0.1133146 0.0003805868
17.0 0.126312 0.0004018214
19.0 0.1244713 0.0003988829
21.0 0.1110801 0.0003768158
23.0 0.09421341 0.0003470301
25.0 0.07525671 0.0003101583
27.0 0.05692252 0.0002697447
29.0 0.04201409 0.0002317439
31.0 0.02967881 0.0001947754
33.0 0.02023369 0.0001608231
35.0 0.01300765 0.0001289467
37.0 0.008632139 0.0001050437
39.0 0.00538534 8.29693e-05
41.0 0.003254469 6.449869e-05
43.0 0.00196214 5.008133e-05
45.0 0.001105701 3.759497e-05
47.0 0.0006800382 2.948339e-05
49.0 0.0003029493 1.967867e-05
51.0 0.0001955749 1.581129e-05
53.0 8.180911e-05 1.022614e-05
55.0 5.752203e-05 8.574878e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.01560764 0.0003158381
0.2 0.08949788 0.0007563141
0.4 0.227538 0.001205932
0.6 0.4476109 0.001691399
0.8 0.7541777 0.002195496
1.0 1.131586 0.002689302
1.2 1.566146 0.003163821
1.4 2.040498 0.003611303
1.6 2.516678 0.004010603
1.8 3.017395 0.00439149
2.0 3.50947 0.004736054
2.2 4.002683 0.005057914
2.4 4.475521 0.005348323
2.6 4.960259 0.005630513
2.8 5.416696 0.00588387
3.0 5.824067 0.006101112
3.2 6.169883 0.006279634
3.4 6.405838 0.006398583
3.6 6.542185 0.006466321
3.8 6.571687 0.006480884
4.0 6.466786 0.006428951
4.2 6.201367 0.006295635
4.4 5.747652 0.006060955
4.6 5.133259 0.005727861
4.8 4.371783 0.005285975
5.0 3.534121 0.004752658
5.2 2.727682 0.004175348
5.4 2.00525 0.003579976
5.6 1.407558 0.002999362
