BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.0491913 0.0002693443
1.5 0.06184197 0.0003019989
2.5 0.06960079 0.000320384
3.5 0.06911116 0.0003192551
4.5 0.06194668 0.0003022545
5.5 0.05276322 0.0002789519
6.5 0.04413576 0.0002551285
7.5 0.03719839 0.000234221
8.5 0.03218708 0.0002178736
9.5 0.0285901 0.000205339
10.5 0.02614638 0.0001963675
11.5 0.02348735 0.0001861147
12.5 0.0214787 0.0001779786
13.5 0.01952019 0.0001696703
14.5 0.01823714 0.0001639993
15.5 0.01689951 0.0001578704
16.5 0.0159409 0.0001533275
17.5 0.01494985 0.0001484848
18.5 0.01412545 0.0001443327
19.5 0.01330694 0.0001400886
20.5 0.01259905 0.0001363115
21.5 0.01163012 0.0001309652
22.5 0.01111247 0.0001280174
23.5 0.01057565 0.000124887
24.5 0.01004326 0.0001217029
25.5 0.009668661 0.0001194117
26.5 0.009310289 0.0001171778
27.5 0.008923897 0.0001147205
28.5 0.008423946 0.0001114606
29.5 0.007934319 0.0001081729
30.5 0.007845832 0.000107568
31.5 0.007178248 5.940354e-05
34.5 0.006362793 4.332141e-05
39.5 0.005031804 2.724116e-05
49.5 0.003727065 2.344484e-05
59.5 0.002618768 1.965225e-05
69.5 0.001693343 1.580288e-05
79.5 0.0007011107 7.190217e-06
99.5 0.0001346264 3.074816e-06
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 2.251379 0.00139244
0.6 1.503427 0.001045715
0.7 1.010675 0.0007976462
0.8 0.6884056 0.0006180977
0.9 0.4745563 0.0004852439
1.0 0.3340131 0.0003871142
1.1 0.2391156 0.0003128871
1.2 0.1759695 0.000257388
1.3 0.1310317 0.0002136902
1.4 0.09944083 0.0001796051
1.5 0.07696457 0.0001528082
1.6 0.05994238 0.0001306962
1.7 0.04734945 0.0001127777
1.8 0.03723773 9.726809e-05
1.9 0.02975257 8.468102e-05
2.0 0.02380976 7.388017e-05
2.1 0.01923388 6.483842e-05
2.2 0.01559066 5.706358e-05
2.3 0.01261324 5.02183e-05
2.4 0.01029201 4.442673e-05
2.5 0.007343999 2.297262e-05
2.75 0.004557228 1.728712e-05
3.0 0.002857957 1.312829e-05
3.25 0.0018411 1.013768e-05
3.5 0.001008581 5.052445e-06
4.0 0.0004681731 3.229917e-06
4.5 0.0002270746 2.125857e-06
5.0 9.080343e-05 8.893516e-07
6.0 3.018842e-05 4.703674e-07
7.0 1.174664e-05 2.72569e-07
8.0 5.420711e-06 1.738783e-07
9.0 2.708847e-06 1.159808e-07
10.0 6.485997e-07 2.312598e-08
15.0 7.066333e-08 6.312262e-09
20.0 8.019565e-09 1.276989e-09
30.0 3.420659e-10 1.535955e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 3.707752e-05 6.885123e-06
3.0 0.0004231952 2.326091e-05
5.0 0.003145197 6.341329e-05
7.0 0.01368416 0.0001322713
9.0 0.03887387 0.0002229386
11.0 0.07677093 0.0003132959
13.0 0.1148419 0.0003831832
15.0 0.1375781 0.0004194025
17.0 0.1402809 0.0004235022
19.0 0.1252402 0.000400155
21.0 0.1032507 0.0003633313
23.0 0.07897768 0.0003177668
25.0 0.05798925 0.000272289
27.0 0.04034674 0.0002271227
29.0 0.02728522 0.0001867756
31.0 0.01691374 0.0001470538
33.0 0.0104418 0.0001155431
35.0 0.006240531 8.932379e-05
37.0 0.003512136 6.701038e-05
39.0 0.002041821 5.109344e-05
41.0 0.001062463 3.685643e-05
43.0 0.0005548843 2.66353e-05
45.0 0.0002442002 1.766971e-05
47.0 0.0001278535 1.278535e-05
49.0 7.543358e-05 9.820616e-06
51.0 4.219167e-05 7.344626e-06
53.0 7.671212e-06 3.131759e-06
55.0 5.114141e-06 2.557071e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.01444745 0.0003039044
0.2 0.08749017 0.0007478612
0.4 0.2364267 0.00122939
0.6 0.4769256 0.00174609
0.8 0.8057521 0.002269562
1.0 1.211137 0.002782518
1.2 1.662761 0.00326029
1.4 2.152983 0.003709896
1.6 2.636743 0.004105587
1.8 3.120131 0.004466093
2.0 3.592659 0.004792359
2.2 4.035403 0.005079077
2.4 4.471939 0.005346743
2.6 4.901777 0.00559781
2.8 5.280933 0.005810275
3.0 5.630164 0.005999318
3.2 5.899788 0.00614129
3.4 6.053238 0.006220643
3.6 6.1092 0.006249331
3.8 6.014473 0.006200692
4.0 5.724763 0.006049509
4.2 5.296678 0.00581893
4.4 4.70469 0.005484119
4.6 4.02605 0.005073188
4.8 3.319493 0.004606566
5.0 2.634627 0.004103939
5.2 1.998913 0.00357469
5.4 1.457434 0.003052361
5.6 1.020508 0.002554168
5.8 0.6857808 0.002093794
6.0 0.4547047 0.001704928
6.2 0.2940312 0.001371002
6.4 0.1894406 0.001100469
6.6 0.1230654 0.0008869709
6.8 0.08265092 0.0007268841
7.0 0.05844185 0.0006112281
7.2 0.04222363 0.0005195402
7.4 0.03126658 0.0004470762
7.6 0.02467573 0.00039717
7.8 0.01926753 0.0003509574
8.0 0 0
END

BEGIN HISTO1D ALEPH_1996_I428072_d17-x01-y01
0.2 0.04753 0.00068942
0.3 0.09305 0.0009646243
0.4 0.15703 0.001253116
0.5 0.24014 0.001549645
0.6 0.34696 0.001862686
0.7 0.48071 0.00219251
0.8 0.63096 0.002511892
0.9 0.79812 0.002825102
1.0 0.98945 0.003145552
1.1 1.20273 0.00346804
1.2 1.42436 0.003774069
1.3 1.65962 0.004073843
1.4 1.91915 0.00438081
1.5 2.19215 0.00468204
1.6 2.4541 0.004953887
1.7 2.73951 0.005234033
1.8 3.02411 0.005499191
