BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.05479577 0.0002839121
1.5 0.07584617 0.0003340236
2.5 0.09641113 0.0003765945
3.5 0.1097548 0.0004018113
4.5 0.1097445 0.0004017925
5.5 0.09950765 0.0003825944
6.5 0.08521073 0.0003540442
7.5 0.07039749 0.0003218022
8.5 0.05651099 0.0002883214
9.5 0.04577249 0.0002594852
10.5 0.03695809 0.000233166
11.5 0.02952646 0.0002084088
12.5 0.02388507 0.0001874449
13.5 0.01916602 0.0001679099
14.5 0.01557671 0.0001513729
15.5 0.01270821 0.0001367264
16.5 0.01054874 0.0001245692
17.5 0.008484886 0.0001117206
18.5 0.007143309 0.0001025086
19.5 0.005719354 9.172419e-05
20.5 0.004769071 8.375819e-05
21.5 0.003983542 7.654998e-05
22.5 0.003133288 6.789074e-05
23.5 0.002633139 6.22368e-05
24.5 0.002099156 5.556902e-05
25.5 0.00180348 5.150697e-05
26.5 0.001478383 4.663412e-05
27.5 0.001182706 4.171083e-05
28.5 0.0009267472 3.692249e-05
29.5 0.000751695 3.325303e-05
30.5 0.000647252 3.085653e-05
31.5 0.000432482 1.456243e-05
34.5 0.0002059438 7.783945e-06
39.5 4.972073e-05 2.704451e-06
49.5 8.090651e-06 1.090943e-06
59.5 1.323925e-06 4.413082e-07
69.5 2.942055e-07 2.080347e-07
79.5 7.355137e-08 7.355137e-08
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 0.9120681 0.0008850894
0.6 0.61371 0.0006672542
0.7 0.4136706 0.0005096773
0.8 0.2800531 0.0003937508
0.9 0.190106 0.0003067733
1.0 0.1304538 0.0002416455
1.1 0.09044336 0.0001922088
1.2 0.06410086 0.0001551696
1.3 0.0459445 0.0001263931
1.4 0.03395462 0.000104825
1.5 0.02519434 8.732561e-05
1.6 0.01922753 7.393274e-05
1.7 0.01469603 6.27531e-05
1.8 0.01161549 5.426087e-05
1.9 0.009069355 4.669608e-05
2.0 0.007296324 4.084599e-05
2.1 0.005883544 3.581464e-05
2.2 0.004754235 3.146966e-05
2.3 0.003864277 2.776103e-05
2.4 0.003186679 2.468984e-05
2.5 0.002319255 1.289198e-05
2.75 0.001507092 9.926766e-06
3.0 0.001002225 7.762853e-06
3.25 0.0006747872 6.128488e-06
3.5 0.0004006872 3.177312e-06
4.0 0.0002085831 2.151797e-06
4.5 0.0001174175 1.526104e-06
5.0 5.444083e-05 6.864354e-07
6.0 2.20223e-05 4.00788e-07
7.0 9.761908e-06 2.478975e-07
8.0 4.737066e-06 1.621908e-07
9.0 2.451066e-06 1.103298e-07
10.0 6.323225e-07 2.26768e-08
15.0 7.676999e-08 6.580529e-09
20.0 9.668007e-09 1.402036e-09
30.0 5.726887e-10 1.926917e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 3.836602e-05 7.004644e-06
3.0 0.0007084924 3.010096e-05
5.0 0.004969678 7.972176e-05
7.0 0.01954876 0.0001581148
9.0 0.05151405 0.0002566703
11.0 0.09417706 0.0003470446
13.0 0.1298523 0.0004075094
15.0 0.1450747 0.0004307334
17.0 0.1403071 0.0004235967
19.0 0.1199744 0.0003917031
21.0 0.09387525 0.0003464881
23.0 0.06975837 0.0002986833
25.0 0.04861997 0.0002493562
27.0 0.03220316 0.0002029373
29.0 0.02059232 0.0001622801
31.0 0.0125751 0.0001268144
33.0 0.007434055 9.750472e-05
35.0 0.004208752 7.336508e-05
37.0 0.002160007 5.255818e-05
39.0 0.00121876 3.947952e-05
41.0 0.0006176929 2.8106e-05
43.0 0.0003133225 2.001744e-05
45.0 0.0001266079 1.272457e-05
47.0 7.545317e-05 9.823166e-06
49.0 2.813508e-05 5.998419e-06
51.0 1.662527e-05 4.611021e-06
53.0 6.394336e-06 2.859634e-06
55.0 3.836602e-06 2.215063e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.01924695 0.0003508154
0.2 0.109292 0.0008359723
0.4 0.2756982 0.001327745
0.6 0.5315612 0.001843632
0.8 0.8681143 0.002356059
1.0 1.265733 0.002844912
