BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.07285765 0.000329097
1.5 0.09594936 0.0003776656
2.5 0.1121882 0.0004083757
3.5 0.1143526 0.0004122962
4.5 0.1064502 0.0003977953
5.5 0.09278901 0.0003713938
6.5 0.07743467 0.0003392768
7.5 0.06247278 0.0003047416
8.5 0.05049583 0.000273977
9.5 0.04016893 0.0002443608
10.5 0.03250291 0.00021981
11.5 0.02600679 0.0001966209
12.5 0.0213599 0.0001781911
13.5 0.01754994 0.0001615192
14.5 0.01394808 0.0001439937
15.5 0.01145666 0.0001305015
16.5 0.00957026 0.0001192747
17.5 0.00751588 0.0001057003
18.5 0.006276116 9.658994e-05
19.5 0.005205817 8.796924e-05
20.5 0.004273765 7.970612e-05
21.5 0.00353942 7.253581e-05
22.5 0.002796157 6.447141e-05
23.5 0.002293711 5.839232e-05
24.5 0.001956269 5.392631e-05
25.5 0.001508825 4.735936e-05
26.5 0.001302198 4.399718e-05
27.5 0.0009721886 3.801558e-05
28.5 0.000882997 3.62298e-05
29.5 0.0006778562 3.174353e-05
30.5 0.0005232575 2.788972e-05
31.5 0.0003840194 1.379439e-05
34.5 0.0001956269 7.626332e-06
39.5 4.950134e-05 2.712657e-06
49.5 8.473203e-06 1.122303e-06
59.5 7.432634e-07 3.323975e-07
69.5 4.459581e-07 2.57474e-07
79.5 0.0 nan
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 0.9659391 0.0009160607
0.6 0.611826 0.0006700266
0.7 0.3884277 0.0004966447
0.8 0.2484895 0.0003729326
0.9 0.1619726 0.0002846947
1.0 0.1081887 0.0002212245
1.1 0.07447444 0.0001753299
1.2 0.05243998 0.0001410798
1.3 0.03806273 0.0001156385
1.4 0.02828935 9.618002e-05
1.5 0.02130112 8.070767e-05
1.6 0.01640144 6.863756e-05
1.7 0.0125488 5.82912e-05
1.8 0.009942635 5.046008e-05
1.9 0.007871762 4.373004e-05
2.0 0.00636431 3.834859e-05
2.1 0.005134933 3.363444e-05
2.2 0.004148375 2.955013e-05
2.3 0.003351115 2.598586e-05
2.4 0.00278548 2.320267e-05
2.5 0.002020144 1.209601e-05
2.75 0.001332101 9.381858e-06
3.0 0.0008667504 7.255864e-06
3.25 0.0005925162 5.772144e-06
3.5 0.0003508054 2.98961e-06
4.0 0.0001889008 2.058355e-06
4.5 0.0001035255 1.440054e-06
5.0 4.825757e-05 6.500482e-07
6.0 1.929802e-05 3.773088e-07
7.0 8.681e-06 2.353927e-07
8.0 4.198166e-06 1.532789e-07
9.0 2.164054e-06 1.040469e-07
10.0 6.218943e-07 2.271928e-08
15.0 7.621245e-08 6.554884e-09
20.0 8.542469e-09 1.323418e-09
30.0 6.191179e-10 2.073174e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 2.172907e-05 5.270074e-06
3.0 0.0003949578 2.246837e-05
5.0 0.003151994 6.347297e-05
7.0 0.01372127 0.0001324321
9.0 0.0383288 0.0002213394
11.0 0.07542928 0.0003105032
13.0 0.1124684 0.0003791503
15.0 0.1355102 0.0004161808
17.0 0.138349 0.0004205176
19.0 0.1247773 0.0003993594
21.0 0.1040746 0.0003647275
23.0 0.08050238 0.000320775
25.0 0.05949164 0.0002757554
27.0 0.0415332 0.000230406
29.0 0.02774419 0.0001883138
31.0 0.01803385 0.000151824
33.0 0.01117258 0.0001195014
35.0 0.006713005 9.263063e-05
37.0 0.003950857 7.106271e-05
39.0 0.002236816 5.347013e-05
41.0 0.001200212 3.916743e-05
43.0 0.0005866849 2.738411e-05
45.0 0.0003169888 2.012881e-05
47.0 0.0001533817 1.400177e-05
49.0 7.28563e-05 9.650053e-06
51.0 3.451088e-05 6.641622e-06
53.0 1.278181e-05 4.041962e-06
55.0 8.947265e-06 3.381748e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.01630319 0.0003227881
0.2 0.09528198 0.0007803448
0.4 0.2455769 0.00125278
0.6 0.486009 0.001762395
0.8 0.8123605 0.002278534
1.0 1.212744 0.002783978
1.2 1.660389 0.003257512
1.4 2.135968 0.003694694
1.6 2.612627 0.004086202
1.8 3.094118 0.00444682
2.0 3.552831 0.00476506
2.2 3.996647 0.005053928
2.4 4.443046 0.005328703
2.6 4.855776 0.005570709
2.8 5.267785 0.005802233
3.0 5.605909 0.005985551
3.2 5.879299 0.006129766
3.4 6.056768 0.006221593
3.6 6.113807 0.00625082
3.8 6.036061 0.006210949
4.0 5.79584 0.006086103
4.2 5.377747 0.005862479
4.4 4.818875 0.005549502
4.6 4.152381 0.005151453
4.8 3.432081 0.004683386
5.0 2.725209 0.004173314
5.2 2.075267 0.003641817
5.4 1.507946 0.003104374
5.6 1.055317 0.002597004
5.8 0.7138895 0.002135977
6.0 0.4683062 0.00173
6.2 0.3017976 0.001388798
6.4 0.1954913 0.001117751
6.6 0.1293838 0.0009093292
6.8 0.08584262 0.0007406834
7.0 0.06044516 0.0006215297
7.2 0.04247394 0.0005210056
7.4 0.03342443 0.0004621821
7.6 0.02541662 0.0004030325
7.8 0.01997796 0.0003573195
8.0 0 0
END

BEGIN HISTO1D ALEPH_1996_I428072_d17-x01-y01
0.2 0.05348 0.0007313002
0.3 0.09992 0.0009995999
0.4 0.16452 0.001282653
0.5 0.24864 0.001576832
0.6 0.35616 0.00188722
0.7 0.48809 0.002209276
0.8 0.63808 0.002526025
0.9 0.80555 0.002838221
1.0 0.99792 0.003158987
1.1 1.20332 0.00346889
1.2 1.42524 0.003775235
1.3 1.66383 0.004079007
1.4 1.9137 0.004374586
1.5 2.17615 0.004664922
1.6 2.44348 0.004943157
1.7 2.71982 0.005215189
1.8 2.99593 0.005473509
1.9 3.28997 0.005735826
2.0 3.54759 0.005956165
2.1 3.81873 0.006179587
2.2 4.0834 0.006390149
2.3 4.33322 0.00658272
2.4 4.58545 0.006771595
2.5 4.84542 0.006960905
2.6 5.05236 0.007107995
2.7 5.27202 0.007260868
2.8 5.49926 0.0074157
2.9 5.66839 0.007528871
3.0 5.85002 0.007648542
3.1 6.00069 0.007746412
3.2 6.15061 0.007842582
3.3 6.24461 0.007902284
3.4 6.34672 0.00796663
3.5 6.39319 0.007995743
3.6 6.41899 0.00801186
3.7 6.41221 0.008007628
3.8 6.34589 0.007966109
3.9 6.26334 0.007914127
4.0 6.10812 0.007815446
4.1 5.9201 0.007694219
4.2 5.68491 0.007539834
4.3 5.40419 0.00735132
4.4 5.10098 0.007142115
4.5 4.77209 0.006908032
4.6 4.41415 0.006643907
4.7 4.05339 0.006366624
4.8 3.67403 0.006061378
4.9 3.30549 0.005749339
5.0 2.93823 0.005420544
5.1 2.59083 0.00509002
5.2 2.2566 0.004750368
5.3 1.94065 0.004405281
5.4 0 0
END

BEGIN HISTO1D EHS_1988_I265504_d06-x01-y01
0.0 551.3792 0.8152965
0.02 389.8962 0.6855907
0.04 299.4893 0.6008707
0.06 239.4355 0.5372601
0.08 196.6509 0.4868984
0.1 166.6945 0.4482817
0.12 141.4638 0.4129648
0.14 122.5634 0.3843889
0.16 106.6563 0.3585781
0.18 93.97648 0.3365891
0.2 75.96045 0.1913878
0.25 57.75876 0.1668896
0.3 44.64781 0.1467305
0.35 34.82027 0.1295795
0.4 28.06202 0.1163268
0.45 22.50787 0.1041808
0.5 18.21905 0.093731
0.55 15.02486 0.08511881
0.6 12.269 0.07691746
0.65 10.32712 0.07056835
0.7 8.622488 0.06448173
0.75 7.252032 0.05913577
0.8 6.127989 0.05435999
0.85 5.248429 0.05030777
0.9 4.420948 0.04617194
0.95 3.813839 0.04288462
1.0 3.05652 0.02714682
1.1 2.276778 0.02342965
1.2 1.720543 0.02036752
1.3 1.333084 0.01792809
1.4 1.009517 0.01560135
1.5 0.800477 0.01389248
1.6 0.6372472 0.01239537
1.7 0.5444208 0.01145705
1.8 0.4021674 0.00984711
1.9 0.3418905 0.009079228
2.0 0.2511135 0.005502061
2.2 0.1740796 0.004581043
2.4 0.1309214 0.003972791
2.6 0.08933034 0.003281632
2.8 0.06353184 0.00276749
3.0 0.044846 0.001644134
3.4 0.02724515 0.001281504
3.8 0.01699808 0.001012221
4.2 0.01127178 0.000824274
4.6 0.007112672 0.0006547746
5.0 0 0
END

