BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.07549812 0.0003357562
1.5 0.09777038 0.0003820847
2.5 0.1122273 0.0004093599
3.5 0.1146881 0.0004138235
4.5 0.1057574 0.0003973849
5.5 0.09102271 0.0003686641
6.5 0.07562355 0.000336035
7.5 0.06178477 0.0003037363
8.5 0.04924356 0.0002711631
9.5 0.0399306 0.0002441793
10.5 0.03171214 0.0002176049
11.5 0.02617394 0.0001976926
12.5 0.02100455 0.0001770976
13.5 0.01752544 0.0001617672
14.5 0.0141195 0.0001451997
15.5 0.0116035 0.0001316286
16.5 0.009390604 0.0001184139
17.5 0.007883986 0.0001084998
18.5 0.006528179 9.873065e-05
19.5 0.005324677 8.916668e-05
20.5 0.004286917 8.00071e-05
21.5 0.003652316 7.384824e-05
22.5 0.002981879 6.67269e-05
23.5 0.002475691 6.080008e-05
24.5 0.002047149 5.528797e-05
25.5 0.00164847 4.961311e-05
26.5 0.001373725 4.529037e-05
27.5 0.001134816 4.116411e-05
28.5 0.0009541415 3.774525e-05
29.5 0.0007824259 3.418043e-05
30.5 0.0006958215 3.223331e-05
31.5 0.0004434742 1.485695e-05
34.5 0.0002245741 8.189376e-06
39.5 5.898058e-05 2.967635e-06
49.5 9.257711e-06 1.17573e-06
59.5 1.642497e-06 4.952315e-07
69.5 0.0 nan
79.5 7.465896e-08 7.465896e-08
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.084828 0.0009733135
0.6 0.6508646 0.0006928086
0.7 0.3910701 0.0004995614
0.8 0.2395109 0.0003670237
0.9 0.1512606 0.0002757464
1.0 0.09899218 0.0002120928
1.1 0.06731309 0.0001670635
1.2 0.04697972 0.0001338363
1.3 0.03394618 0.0001094485
1.4 0.024941 9.051332e-05
1.5 0.01865114 7.569143e-05
1.6 0.01418756 6.398529e-05
1.7 0.01096674 5.461767e-05
1.8 0.008497736 4.675726e-05
1.9 0.006745609 4.057076e-05
2.0 0.005362347 3.527675e-05
2.1 0.00434483 3.100882e-05
2.2 0.003466792 2.707085e-05
2.3 0.002840194 2.397759e-05
2.4 0.002321266 2.122969e-05
2.5 0.00168646 1.107584e-05
2.75 0.001067676 8.418948e-06
3.0 0.0007069452 6.569251e-06
3.25 0.0004762882 5.186186e-06
3.5 0.000283459 2.693033e-06
4.0 0.0001453608 1.809451e-06
4.5 8.171083e-05 1.28172e-06
5.0 3.742851e-05 5.734213e-07
6.0 1.491596e-05 3.321096e-07
7.0 6.386989e-06 2.022238e-07
8.0 3.278249e-06 1.359616e-07
9.0 1.669986e-06 9.168831e-08
10.0 4.192173e-07 1.868106e-08
15.0 5.123297e-08 5.38756e-09
20.0 9.018688e-09 1.3829e-09
30.0 3.489237e-10 1.574925e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 1.022951e-05 3.616679e-06
3.0 0.0001560001 1.412358e-05
5.0 0.001208361 3.930799e-05
7.0 0.005995773 8.755986e-05
9.0 0.01962915 0.0001584285
11.0 0.04617985 0.0002430014
13.0 0.08086173 0.0003215541
15.0 0.112664 0.0003795553
17.0 0.1304186 0.0004083685
19.0 0.1307562 0.0004088967
21.0 0.1171228 0.0003869931
23.0 0.09757676 0.0003532284
25.0 0.07746681 0.0003147316
27.0 0.05837343 0.0002732059
29.0 0.04147939 0.0002303025
31.0 0.02902624 0.0001926539
33.0 0.0194105 0.0001575436
35.0 0.01251837 0.0001265192
37.0 0.007808954 9.992609e-05
39.0 0.004905051 7.919618e-05
41.0 0.002898788 6.088225e-05
43.0 0.00164823 4.590832e-05
45.0 0.0008720659 3.339313e-05
47.0 0.0005255412 2.592303e-05
49.0 0.0002340001 1.729778e-05
51.0 0.000131705 1.297728e-05
53.0 6.777052e-05 9.308996e-06
55.0 3.580329e-05 6.766186e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.007525085 0.0002193427
0.2 0.05578281 0.000597197
0.4 0.1666324 0.00103216
0.6 0.3738311 0.001545985
0.8 0.6864834 0.002094992
1.0 1.089686 0.002639479
1.2 1.561669 0.003159817
1.4 2.075785 0.003642996
1.6 2.615635 0.004089367
1.8 3.144533 0.004483793
2.0 3.682234 0.004852027
2.2 4.187527 0.005174237
2.4 4.701349 0.005482501
2.6 5.183217 0.005756615
2.8 5.665148 0.00601829
3.0 6.083203 0.006236395
3.2 6.42226 0.006407836
3.4 6.673069 0.006531761
3.6 6.794947 0.006591139
3.8 6.772691 0.006580337
4.0 6.601398 0.00649659
4.2 6.208131 0.006300107
4.4 5.629249 0.005999191
4.6 4.888984 0.005590836
4.8 4.062529 0.005096426
5.0 3.242161 0.004552865
5.2 2.469634 0.003973597
5.4 1.807158 0.003399113
5.6 1.265173 0.002844084
5.8 0.8503474 0.002331662
6.0 0.5556735 0.001884852
6.2 0.3595865 0.001516244
6.4 0.2304325 0.001213778
6.6 0.1492294 0.0009767753
6.8 0.1008118 0.0008028293
7.0 0.06920265 0.0006651641
7.2 0.05038035 0.000567542
7.4 0.03876346 0.0004978273
7.6 0.02911575 0.000431451
7.8 0.02351509 0.0003877402
8.0 0 0
END

BEGIN HISTO1D ALEPH_1996_I428072_d17-x01-y01
0.2 0.02922 0.0005405553
0.3 0.06125 0.0007826238
0.4 0.1083 0.001040673
0.5 0.17705 0.001330601
0.6 0.27104 0.001646329
0.7 0.38979 0.00197431
0.8 0.5308 0.00230391
0.9 0.70283 0.002651094
1.0 0.88876 0.002981208
1.1 1.0999 0.003316474
1.2 1.33189 0.003649507
1.3 1.57936 0.003974116
1.4 1.84251 0.004292447
1.5 2.11459 0.004598467
1.6 2.40723 0.004906353
1.7 2.71076 0.005206496
1.8 3.00883 0.00548528
1.9 3.30773 0.005751287
2.0 3.62778 0.006023106
2.1 3.908 0.0062514
2.2 4.20457 0.006484266
2.3 4.48389 0.006696185
2.4 4.78031 0.006913979
2.5 5.04836 0.007105181
2.6 5.31301 0.00728904
2.7 5.55087 0.007450416
2.8 5.81839 0.007627837
2.9 6.03614 0.00776926
3.0 6.24242 0.007900899
3.1 6.45379 0.008033548
3.2 6.62123 0.008137094
3.3 6.76507 0.008225005
3.4 6.90764 0.008311221
3.5 6.98924 0.008360167
3.6 7.05227 0.008397779
3.7 7.08068 0.008414678
3.8 7.05006 0.008396464
3.9 6.99713 0.008364885
4.0 6.88243 0.008296041
4.1 6.71572 0.00819495
4.2 6.50058 0.008062617
4.3 6.22811 0.007891838
4.4 5.91387 0.007690169
4.5 5.55851 0.007455542
4.6 5.16567 0.00718726
4.7 4.75947 0.006898891
4.8 4.32274 0.006574755
4.9 3.90415 0.00624832
5.0 3.47239 0.005892699
5.1 3.07278 0.005543266
5.2 2.67835 0.005175278
5.3 2.30963 0.004805861
5.4 0 0
END

BEGIN HISTO1D EHS_1988_I265504_d06-x01-y01
0.0 628.5071 0.8704533
0.02 446.5553 0.733716
0.04 343.3239 0.6433427
0.06 274.9675 0.5757462
0.08 225.5006 0.5213919
0.1 189.0126 0.4773488
0.12 160.8223 0.4403151
0.14 137.6929 0.4074236
0.16 118.3464 0.3777183
0.18 102.9204 0.3522419
0.2 82.20803 0.1991029
0.25 60.78707 0.1712088
0.3 45.86492 0.148717
0.35 35.19881 0.130282
0.4 27.57884 0.115321
0.45 21.65531 0.1021886
0.5 17.07379 0.09073719
0.55 13.78364 0.08152715
0.6 11.21054 0.07352475
0.65 9.125438 0.06633569
0.7 7.491211 0.06010304
0.75 6.196464 0.05466286
0.8 5.083029 0.04950872
0.85 4.325469 0.04567063
0.9 3.699072 0.04223444
0.95 3.01722 0.03814379
1.0 2.351763 0.02381234
1.1 1.765389 0.02063125
1.2 1.340799 0.0179799
1.3 0.9849243 0.01541015
1.4 0.7717852 0.01364123
1.5 0.60084 0.01203607
1.6 0.4877605 0.01084448
1.7 0.3893887 0.009689404
1.8 0.3059655 0.00858898
1.9 0.260155 0.007919933
2.0 0.1863761 0.004740078
2.2 0.1315242 0.003981926
2.4 0.097528 0.003428902
2.6 0.07124728 0.002930721
2.8 0.0511148 0.002482354
3.0 0.03532225 0.001459149
3.4 0.02188051 0.001148429
3.8 0.01440618 0.000931858
4.2 0.00753461 0.000673916
4.6 0.005304366 0.0005654473
5.0 0 0
END

