BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.05213974 0.0002774843
1.5 0.06496682 0.0003097418
2.5 0.0733917 0.0003292134
3.5 0.07410202 0.0003308027
4.5 0.06842834 0.0003178865
5.5 0.0595117 0.0002964526
6.5 0.05042375 0.0002728799
7.5 0.0424168 0.0002502782
8.5 0.03718023 0.0002343204
9.5 0.03265988 0.0002196147
10.5 0.02939774 0.0002083584
11.5 0.02673515 0.0001986988
12.5 0.02397805 0.0001881746
13.5 0.0223359 0.0001816167
14.5 0.02058742 0.0001743633
15.5 0.01889949 0.0001670626
16.5 0.01763392 0.0001613721
17.5 0.01657804 0.0001564662
18.5 0.01593417 0.0001533977
19.5 0.01465678 0.0001471205
20.5 0.01375448 0.0001425201
21.5 0.012991 0.0001385082
22.5 0.0125022 0.0001358774
23.5 0.0115364 0.0001305236
24.5 0.01095456 0.0001271896
25.5 0.01054402 0.0001247835
26.5 0.009911971 0.0001209857
27.5 0.009355235 0.0001175388
28.5 0.008978662 0.0001151489
29.5 0.008497241 0.0001120193
30.5 0.007981854 0.000108569
31.5 0.007284826 5.988292e-05
34.5 0.005885454 4.16926e-05
39.5 0.003791122 2.366126e-05
49.5 0.001889802 1.67056e-05
59.5 0.0008302309 1.10727e-05
69.5 0.0003198648 6.872857e-06
79.5 6.652775e-05 2.216361e-06
99.5 5.344442e-06 6.130495e-07
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.946813 0.001296107
0.6 1.249099 0.0009540889
0.7 0.8034588 0.0007118661
0.8 0.5249089 0.0005401851
0.9 0.3487528 0.000416315
1.0 0.2386985 0.0003275013
1.1 0.1671729 0.0002618088
1.2 0.1198045 0.0002125363
1.3 0.08798737 0.0001752401
1.4 0.06565388 0.0001460282
1.5 0.04975638 0.0001229489
1.6 0.03788912 0.0001039826
1.7 0.02948784 8.90634e-05
1.8 0.02284958 7.624272e-05
1.9 0.01816718 6.621561e-05
2.0 0.01422094 5.71363e-05
2.1 0.01140082 4.995189e-05
2.2 0.009121747 4.367783e-05
2.3 0.007298028 3.822764e-05
2.4 0.00593279 3.375334e-05
2.5 0.004159042 1.730057e-05
2.75 0.002556018 1.295578e-05
3.0 0.001609811 9.858885e-06
3.25 0.001032194 7.596918e-06
3.5 0.0005690837 3.796333e-06
4.0 0.0002689944 2.448122e-06
4.5 0.0001350872 1.64e-06
5.0 5.739542e-05 7.069503e-07
6.0 2.120078e-05 3.943449e-07
7.0 8.90041e-06 2.377029e-07
8.0 3.966732e-06 1.48849e-07
9.0 2.294703e-06 1.069245e-07
10.0 5.287098e-07 2.08672e-08
15.0 5.539895e-08 5.611307e-09
20.0 7.123252e-09 1.211886e-09
30.0 2.404363e-10 1.215979e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 1.916162e-05 4.947508e-06
3.0 0.0002018357 1.605718e-05
5.0 0.001619795 4.548838e-05
7.0 0.007336344 9.680778e-05
9.0 0.0241232 0.0001755448
11.0 0.05355416 0.0002615574
13.0 0.09185567 0.0003425496
15.0 0.1224785 0.000395549
17.0 0.1353155 0.0004157614
19.0 0.1310092 0.0004090924
21.0 0.1139771 0.0003815744
23.0 0.09311651 0.0003448925
25.0 0.07161334 0.0003024596
27.0 0.05214642 0.0002580968
29.0 0.03635597 0.0002155055
31.0 0.02490244 0.0001783575
33.0 0.01610981 0.000143455
35.0 0.01015949 0.0001139217
37.0 0.006102336 8.829142e-05
39.0 0.003654759 6.832817e-05
41.0 0.002009415 5.066467e-05
43.0 0.001176523 3.876776e-05
45.0 0.000573571 2.706849e-05
47.0 0.0002682626 1.851188e-05
49.0 0.0001481832 1.375846e-05
51.0 9.197575e-05 1.083945e-05
53.0 4.98202e-05 7.977617e-06
55.0 2.043906e-05 5.109764e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.008756858 0.0002364992
0.2 0.06111917 0.0006248045
0.4 0.1810262 0.001075291
0.6 0.3960259 0.00159044
0.8 0.7143706 0.002136079
1.0 1.120558 0.002675301
1.2 1.60163 0.003198428
1.4 2.110748 0.003671754
1.6 2.637015 0.004104041
1.8 3.158186 0.004491323
2.0 3.672745 0.004843405
2.2 4.173221 0.005162869
2.4 4.652843 0.005451482
2.6 5.128287 0.005723235
2.8 5.570895 0.005965103
3.0 5.964034 0.006171994
3.2 6.280532 0.006333644
3.4 6.503299 0.006444991
3.6 6.594419 0.006489985
3.8 6.563179 0.006474594
4.0 6.321206 0.00635412
4.2 5.90462 0.006141174
4.4 5.29857 0.005817478
4.6 4.562138 0.005398084
4.8 3.781098 0.004914331
5.0 2.999323 0.004376904
5.2 2.279498 0.003815707
5.4 1.670625 0.003266592
5.6 1.168258 0.002731649
5.8 0.7892222 0.0022452
6.0 0.5165908 0.001816472
6.2 0.3357179 0.001464343
6.4 0.2187298 0.001181978
6.6 0.1396946 0.000944594
6.8 0.09463283 0.0007774569
7.0 0.06547524 0.0006466868
7.2 0.04727809 0.0005495224
7.4 0.03502105 0.0004729552
7.6 0.02719672 0.0004167865
7.8 0.02098197 0.0003660821
8.0 0 0
END

BEGIN HISTO1D ALEPH_1996_I428072_d17-x01-y01
0.2 0.03196 0.0005653318
0.3 0.06712 0.000819268
0.4 0.11706 0.001081943
0.5 0.19102 0.0013821
0.6 0.28623 0.001691833
0.7 0.40875 0.002021757
0.8 0.55656 0.002359152
0.9 0.72414 0.002690985
1.0 0.91051 0.003017466
1.1 1.12773 0.003358169
1.2 1.36519 0.003694848
1.3 1.60801 0.00401
1.4 1.86826 0.004322337
1.5 2.15062 0.004637478
1.6 2.43305 0.004932596
1.7 2.72956 0.005224519
1.8 3.01768 0.005493341
1.9 3.33085 0.005771352
2.0 3.62177 0.006018114
2.1 3.90728 0.006250824
2.2 4.19907 0.006480023
2.3 4.48929 0.006700216
2.4 4.75918 0.006898681
2.5 5.02099 0.007085894
2.6 5.27957 0.007266065
2.7 5.52267 0.007431467
2.8 5.74961 0.007582618
2.9 5.96657 0.007724358
3.0 6.16236 0.00785007
3.1 6.34206 0.007963705
3.2 6.5226 0.008076262
3.3 6.63664 0.008146558
3.4 6.75708 0.008220146
3.5 6.84419 0.008272962
3.6 6.87661 0.008292533
3.7 6.89941 0.008306269
3.8 6.86418 0.008285035
3.9 6.7911 0.008240813
4.0 6.63673 0.008146613
4.1 6.43716 0.008023191
4.2 6.20754 0.007878794
4.3 5.91464 0.00769067
4.4 5.59417 0.007479418
4.5 5.22919 0.007231314
4.6 4.83762 0.0069553
4.7 4.44717 0.006668711
4.8 4.036 0.006352952
4.9 3.63664 0.006030456
5.0 3.22273 0.005676909
5.1 2.85147 0.005339916
5.2 2.47795 0.004977901
5.3 2.13731 0.004623105
5.4 0 0
END

BEGIN HISTO1D EHS_1988_I265504_d06-x01-y01
0.0 588.6182 0.8423785
0.02 416.3433 0.7084614
0.04 320.6839 0.6217688
0.06 256.3395 0.5559019
0.08 211.6996 0.505185
0.1 177.1369 0.4621095
0.12 151.9146 0.4279472
0.14 130.7562 0.3970284
0.16 114.3211 0.3712391
0.18 99.75704 0.3467865
0.2 81.36656 0.1980812
0.25 61.2635 0.1718784
0.3 47.32941 0.1510727
0.35 37.27619 0.1340714
0.4 29.73772 0.1197496
0.45 23.87736 0.1073034
0.5 19.34454 0.09658276
0.55 15.82292 0.08735017
0.6 13.09455 0.07946313
0.65 10.71385 0.07187755
0.7 8.991382 0.06584664
0.75 7.574634 0.06043677
0.8 6.366686 0.05540859
0.85 5.357409 0.05082739
0.9 4.55645 0.04687418
0.95 3.956092 0.04367708
1.0 3.080631 0.02725368
1.1 2.270027 0.02339489
1.2 1.74586 0.02051682
1.3 1.313554 0.01779628
1.4 1.008071 0.01559017
1.5 0.7908327 0.01380854
1.6 0.6358006 0.01238129
1.7 0.5075314 0.01106208
1.8 0.3867365 0.009656349
1.9 0.329594 0.00891446
2.0 0.2458091 0.00544364
2.2 0.1628681 0.004431068
2.4 0.1139233 0.003705926
2.6 0.08257933 0.003155194
2.8 0.06461682 0.002791022
3.0 0.04370074 0.001623005
3.4 0.02670266 0.001268682
3.8 0.0169378 0.001010425
4.2 0.0112115 0.0008220671
4.6 0.006208519 0.0006117436
5.0 0 0
END

