BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.1299921 0.000449813
1.5 0.1362818 0.0004605668
2.5 0.1284402 0.00044712
3.5 0.1127617 0.0004189424
4.5 0.0941865 0.0003828846
5.5 0.07576229 0.0003433999
6.5 0.06165424 0.0003097812
7.5 0.04940464 0.0002773048
8.5 0.03964387 0.0002484057
9.5 0.03189254 0.0002228015
10.5 0.02591094 0.0002008238
11.5 0.0209395 0.000180533
12.5 0.01687705 0.0001620772
13.5 0.01385279 0.0001468392
14.5 0.0111943 0.0001319994
15.5 0.009158404 0.0001193943
16.5 0.007468053 0.0001078145
17.5 0.006313135 9.912795e-05
18.5 0.005001012 8.82272e-05
19.5 0.003979952 7.870685e-05
20.5 0.003352686 7.223871e-05
21.5 0.002807913 6.610973e-05
22.5 0.002288045 5.967684e-05
23.5 0.001892695 5.427676e-05
24.5 0.001517581 4.860148e-05
25.5 0.001299672 4.497699e-05
26.5 0.001052189 4.046882e-05
27.5 0.0008202718 3.57316e-05
28.5 0.0007253257 3.360006e-05
29.5 0.0006397186 3.155499e-05
30.5 0.00044827 2.641456e-05
31.5 0.0003413908 1.33088e-05
34.5 0.0001674786 7.220517e-06
39.5 4.591654e-05 2.673364e-06
49.5 9.805905e-06 1.235428e-06
59.5 1.556493e-06 4.922063e-07
69.5 1.556493e-07 1.556493e-07
79.5 2.334739e-07 1.347962e-07
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 0.9910412 0.0009504647
0.6 0.5461271 0.0006482105
0.7 0.3144584 0.0004574241
0.8 0.1918918 0.000335411
0.9 0.1235741 0.000254451
1.0 0.08348205 0.0001988424
1.1 0.05845323 0.0001589415
1.2 0.04188671 0.0001290269
1.3 0.03057011 0.0001060439
1.4 0.02267353 8.810472e-05
1.5 0.01705092 7.389557e-05
1.6 0.01326146 6.315442e-05
1.7 0.01021054 5.380589e-05
1.8 0.007942857 4.614995e-05
1.9 0.006324788 4.011109e-05
2.0 0.005103778 3.513765e-05
2.1 0.004056375 3.058754e-05
2.2 0.003295333 2.694716e-05
2.3 0.00271814 2.394855e-05
2.4 0.002210288 2.115085e-05
2.5 0.001607891 1.104097e-05
2.75 0.00104744 8.51396e-06
3.0 0.0006865903 6.609706e-06
3.25 0.0004754327 5.291302e-06
3.5 0.000276266 2.714249e-06
4.0 0.0001444093 1.841728e-06
4.5 8.273518e-05 1.317003e-06
5.0 3.827716e-05 5.917826e-07
6.0 1.535027e-05 3.444305e-07
7.0 7.096711e-06 2.1731e-07
8.0 3.36157e-06 1.406362e-07
9.0 1.667984e-06 9.34328e-08
10.0 4.954676e-07 2.067102e-08
15.0 6.061162e-08 6.021068e-09
20.0 8.31153e-09 1.3564e-09
30.0 4.932525e-10 1.871189e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 6.391312e-06 2.858282e-06
3.0 0.0001137654 1.20591e-05
5.0 0.001078853 3.713567e-05
7.0 0.005102823 8.076353e-05
9.0 0.0170533 0.0001476435
11.0 0.04063213 0.0002279002
13.0 0.07291592 0.0003052961
15.0 0.1031366 0.0003630918
17.0 0.1231644 0.0003967826
19.0 0.1264355 0.0004020171
21.0 0.1168306 0.0003864456
23.0 0.1010006 0.0003593123
25.0 0.08140614 0.0003225809
27.0 0.0634146 0.0002847112
29.0 0.04760377 0.0002466781
31.0 0.03403246 0.0002085723
33.0 0.02347529 0.000173227
35.0 0.01592587 0.0001426795
37.0 0.01038588 0.000115221
39.0 0.006579216 9.170586e-05
41.0 0.003967726 7.121654e-05
43.0 0.002506673 5.660552e-05
45.0 0.00144188 4.293135e-05
47.0 0.0008551575 3.30623e-05
49.0 0.0004652875 2.438769e-05
51.0 0.000228809 1.710199e-05
53.0 0.0001278262 1.278262e-05
55.0 6.135659e-05 8.856062e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.008634662 0.0002349188
0.2 0.05973959 0.0006179113
0.4 0.1775187 0.001065165
0.6 0.3786724 0.001555704
0.8 0.6763158 0.002079073
1.0 1.069592 0.002614593
1.2 1.530796 0.003127906
1.4 2.029184 0.00360127
1.6 2.557931 0.004043332
1.8 3.085578 0.004440821
2.0 3.62473 0.004813188
2.2 4.151764 0.005151235
2.4 4.657611 0.005456028
2.6 5.171933 0.005749386
2.8 5.649843 0.006009152
3.0 6.098756 0.006243321
3.2 6.476968 0.006433998
3.4 6.739082 0.006562894
3.6 6.89441 0.006638097
3.8 6.942646 0.006661277
4.0 6.80892 0.006596812
4.2 6.538178 0.006464328
4.4 6.026016 0.006205977
4.6 5.338644 0.005841313
4.8 4.517967 0.005373615
5.0 3.626769 0.004814542
5.2 2.782176 0.004216842
5.4 2.037116 0.003608302
5.6 1.424591 0.003017451
5.8 0.9659701 0.002484717
6.0 0.632203 0.002010126
6.2 0.4038862 0.001606662
6.4 0.2595448 0.001287956
6.6 0.167414 0.001034406
6.8 0.1124168 0.0008476383
7.0 0.07560283 0.0006951268
7.2 0.05396185 0.0005872708
7.4 0.04080214 0.0005106654
7.6 0.0307486 0.0004433102
7.8 0.02393546 0.0003911253
8.0 0 0
END

BEGIN HISTO1D ALEPH_1996_I428072_d17-x01-y01
0.2 0.03134 0.0005598214
0.3 0.06574 0.0008108021
0.4 0.11826 0.001087474
0.5 0.18649 0.001365613
0.6 0.27616 0.001661806
0.7 0.39504 0.001987561
0.8 0.53399 0.002310822
0.9 0.68849 0.002623909
1.0 0.87935 0.002965384
1.1 1.08381 0.003292127
1.2 1.31303 0.003623576
1.3 1.55728 0.003946239
1.4 1.81286 0.004257769
1.5 2.08462 0.004565764
1.6 2.37597 0.004874392
1.7 2.66383 0.00516123
1.8 2.95311 0.005434252
1.9 3.26641 0.005715252
2.0 3.57005 0.00597499
2.1 3.85941 0.006212415
2.2 4.15396 0.006445122
2.3 4.4493 0.006670307
2.4 4.72289 0.006872329
2.5 4.9928 0.007065975
2.6 5.26431 0.007255556
2.7 5.50837 0.007421839
2.8 5.76039 0.007589723
2.9 5.99849 0.007744992
3.0 6.22554 0.007890209
3.1 6.43063 0.008019121
3.2 6.61639 0.008134119
3.3 6.79865 0.008245393
3.4 6.92421 0.008321184
3.5 7.02311 0.0083804
3.6 7.1055 0.008429413
3.7 7.16379 0.008463918
3.8 7.17913 0.008472975
3.9 7.12814 0.008442831
4.0 7.04399 0.008392848
4.1 6.92118 0.008319363
4.2 6.76625 0.008225722
4.3 6.55342 0.00809532
4.4 6.26625 0.007915965
4.5 5.95594 0.007717474
4.6 5.58323 0.007472101
4.7 5.20144 0.007212101
4.8 4.77132 0.006907474
4.9 4.32829 0.006578974
5.0 3.86884 0.00622
5.1 3.42672 0.005853819
5.2 2.99298 0.005470813
5.3 2.59858 0.005097627
5.4 0 0
END

BEGIN HISTO1D EHS_1988_I265504_d06-x01-y01
0.0 715.6964 0.9288697
0.02 509.3059 0.7835735
0.04 388.904 0.6847178
0.06 307.341 0.6086963
0.08 248.178 0.5469808
0.1 203.1476 0.4948758
0.12 168.2207 0.4503292
0.14 140.204 0.4111219
0.16 118.3681 0.3777529
0.18 100.5647 0.3481876
0.2 76.66593 0.1922745
0.25 53.52298 0.1606536
0.3 37.93056 0.1352431
0.35 27.69409 0.1155617
