L3_2004_I652683_d59-x01-y02,counts_error,xedges
2.1e-05,4.472135954999579e-06,1.5
0.000331,3.0413812651491098e-05,3.5
0.002582,0.00019632880583347927,5.5
0.011335,0.0007302013420968219,7.5
0.032821,0.0017721907346558384,9.5
0.066995,0.0029138033564398264,11.5
0.104305,0.0034035117158605463,13.5
0.130215,0.0028060352813177526,15.5
0.137874,0.0016210545950090637,17.5
0.128385,0.0009344356585661743,19.5
0.109303,0.0016625501496195536,21.5
0.086274,0.0019993261364769878,23.5
0.064172,0.002130429299460557,25.5
0.045495,0.0019993621482862975,27.5
0.03075,0.001795372941758898,29.5
0.019974,0.0014327669035820167,31.5
0.012434,0.0011301698987320448,33.5
0.00741,0.0008098024450444688,35.5
0.004343,0.0005525233026760048,37.5
0.002433,0.00035635095060908707,39.5
0.001284,0.0002379285607067802,41.5
0.000651,0.00014268847185389575,43.5
0.00033,8.670063436907483e-05,45.5
0.000149,5.544366510251645e-05,47.5
7.2e-05,3.157530680769389e-05,49.5
3.3e-05,1.8681541692269405e-05,51.5
1.4e-05,2.3194827009486404e-05,53.5
1.1e-05,1.2649110640673518e-05,55.5
0.0,0.0,56.5
