BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.1602299 0.0005097178
1.5 0.149134 0.0004917523
2.5 0.1291539 0.0004576272
3.5 0.1082966 0.0004190496
4.5 0.08849807 0.0003788131
5.5 0.07041838 0.00033791
6.5 0.05657241 0.0003028729
7.5 0.04525274 0.0002708823
8.5 0.03627776 0.0002425372
9.5 0.02930694 0.0002179934
10.5 0.02349387 0.00019518
11.5 0.01905097 0.0001757586
12.5 0.01554529 0.000158766
13.5 0.01271416 0.0001435826
14.5 0.01005977 0.000127718
15.5 0.008157752 0.0001150121
16.5 0.006910821 0.0001058578
17.5 0.005506604 9.449309e-05
18.5 0.004506141 8.54792e-05
19.5 0.003805654 7.85548e-05
20.5 0.003093817 7.082807e-05
21.5 0.002432246 6.280031e-05
22.5 0.002023628 5.72827e-05
23.5 0.001684736 5.226657e-05
24.5 0.001334492 4.651747e-05
25.5 0.001110726 4.243864e-05
26.5 0.0009810058 3.988356e-05
27.5 0.0007539962 3.496574e-05
28.5 0.0006307624 3.198092e-05
29.5 0.0005172576 2.896087e-05
30.5 0.0004410472 2.674242e-05
31.5 0.000288086 1.247839e-05
34.5 0.0001491777 6.955448e-06
39.5 4.037528e-05 2.558679e-06
49.5 6.648138e-06 1.038265e-06
59.5 1.945797e-06 5.617031e-07
69.5 3.242994e-07 2.293143e-07
79.5 8.107486e-08 8.107486e-08
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 0.8963935 0.0009228908
0.6 0.4938188 0.000629106
0.7 0.2888157 0.0004473804
0.8 0.1799616 0.0003314791
0.9 0.1191506 0.0002549721
1.0 0.08192657 0.0002010564
1.1 0.05771192 0.000161181
1.2 0.04175691 0.0001314704
1.3 0.03057673 0.0001082462
1.4 0.02303361 9.063476e-05
1.5 0.01745845 7.631424e-05
1.6 0.01356235 6.518409e-05
1.7 0.01049626 5.567436e-05
1.8 0.008283814 4.810503e-05
1.9 0.006629038 4.191526e-05
2.0 0.005322774 3.662801e-05
2.1 0.004236234 3.190754e-05
2.2 0.003465131 2.820677e-05
2.3 0.002885648 2.518416e-05
2.4 0.002355321 2.228112e-05
2.5 0.001698644 1.158281e-05
2.75 0.001116452 8.968882e-06
3.0 0.0007382191 6.993306e-06
3.25 0.0005051639 5.565977e-06
3.5 0.0003039931 2.905482e-06
4.0 0.0001574426 1.9629e-06
4.5 8.946291e-05 1.398334e-06
5.0 4.309613e-05 6.415873e-07
6.0 1.67397e-05 3.667845e-07
7.0 7.61423e-06 2.300705e-07
8.0 3.496206e-06 1.462636e-07
9.0 1.979551e-06 1.040893e-07
10.0 5.263017e-07 2.182531e-08
15.0 5.071962e-08 5.586602e-09
20.0 8.111815e-09 1.340744e-09
30.0 5.732846e-10 2.05484e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 1.150557e-05 3.835189e-06
3.0 0.0001572428 1.41781e-05
5.0 0.001310356 4.092865e-05
7.0 0.006099229 8.830194e-05
9.0 0.01925137 0.0001568786
11.0 0.04406504 0.0002373449
13.0 0.07584854 0.0003113912
15.0 0.1054792 0.0003672114
17.0 0.1224832 0.0003957045
19.0 0.1245554 0.0003990379
21.0 0.115195 0.0003837511
23.0 0.09856053 0.000354964
25.0 0.07998926 0.000319778
27.0 0.06197026 0.000281465
29.0 0.0465055 0.0002438288
31.0 0.03352339 0.0002070173
33.0 0.02321056 0.0001722565
35.0 0.01528834 0.0001398019
37.0 0.01029109 0.0001147
39.0 0.006602917 9.187571e-05
41.0 0.003998824 7.149882e-05
43.0 0.002430232 5.573867e-05
45.0 0.001439474 4.289777e-05
47.0 0.0008066681 3.211295e-05
49.0 0.0004180356 2.311742e-05
51.0 0.0002556793 1.807925e-05
53.0 0.0001214477 1.246027e-05
55.0 6.391982e-05 9.039627e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.01181238 0.0002747809
0.2 0.07416617 0.0006885265
0.4 0.1999795 0.001130604
0.6 0.4106401 0.001620125
0.8 0.712674 0.002134338
1.0 1.095432 0.002646126
1.2 1.542277 0.003139778
1.4 2.025996 0.003598629
1.6 2.532184 0.004023142
1.8 3.040953 0.004408823
2.0 3.556256 0.004767759
2.2 4.075253 0.005103816
2.4 4.569673 0.00540456
2.6 5.065569 0.005690257
2.8 5.535559 0.005948377
3.0 5.991038 0.006188264
3.2 6.342329 0.006367107
3.4 6.599357 0.006494842
3.6 6.754938 0.006570954
3.8 6.79593 0.006590862
4.0 6.720178 0.006554026
4.2 6.44035 0.00641612
4.4 6.014491 0.006200364
4.6 5.353841 0.005849928
4.8 4.573016 0.005406536
5.0 3.706813 0.004867636
5.2 2.861134 0.004276484
5.4 2.107347 0.003670167
5.6 1.484992 0.003080915
5.8 0.9985554 0.00252641
6.0 0.6526022 0.002042406
6.2 0.4166166 0.001631872
6.4 0.2708474 0.00131577
6.6 0.1724876 0.001050018
6.8 0.1151196 0.0008578125
7.0 0.07842323 0.0007080112
7.2 0.05624944 0.0005996211
7.4 0.04122828 0.0005133522
7.6 0.03224755 0.0004540107
7.8 0.02487759 0.0003987695
8.0 0 0
END

BEGIN HISTO1D ALEPH_1996_I428072_d17-x01-y01
0.2 0.03985 0.0006312686
0.3 0.0806 0.000897775
0.4 0.13317 0.001153993
