BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.1252231 0.0004408417
1.5 0.1358602 0.0004591839
2.5 0.1284263 0.0004464445
3.5 0.1126227 0.0004180743
4.5 0.09445546 0.0003828723
5.5 0.07657221 0.0003447276
6.5 0.06179444 0.0003096814
7.5 0.04920493 0.0002763406
8.5 0.03984195 0.0002486627
9.5 0.03209766 0.0002231912
10.5 0.02644076 0.0002025711
11.5 0.02119513 0.0001813671
12.5 0.01721125 0.0001634356
13.5 0.01397851 0.0001472892
14.5 0.01161798 0.0001342783
15.5 0.009189162 0.0001194204
16.5 0.007638753 0.0001088809
17.5 0.006293203 9.882715e-05
18.5 0.005261149 9.036093e-05
19.5 0.004216679 8.089575e-05
20.5 0.003631589 7.507387e-05
21.5 0.003043396 6.872578e-05
22.5 0.002509521 6.240737e-05
23.5 0.002043933 5.632144e-05
24.5 0.001579897 4.951705e-05
25.5 0.001423148 4.69965e-05
26.5 0.00119501 4.306518e-05
27.5 0.0009435924 3.826773e-05
28.5 0.0007635649 3.442416e-05
29.5 0.0006269923 3.119403e-05
30.5 0.0005462903 2.911737e-05
31.5 0.0003564338 1.357904e-05
34.5 0.0001747508 7.36487e-06
39.5 4.981795e-05 2.780567e-06
49.5 9.311767e-06 1.202144e-06
59.5 1.241569e-06 4.389609e-07
69.5 3.103922e-07 2.194805e-07
79.5 7.759806e-08 7.759806e-08
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.034265 0.0009696525
0.6 0.5638383 0.0006577217
0.7 0.3207167 0.0004613159
0.8 0.1934101 0.000336245
0.9 0.1228812 0.0002533645
1.0 0.08268868 0.000197616
1.1 0.05726589 0.0001571003
1.2 0.04057491 0.0001268008
1.3 0.02968409 0.0001043509
1.4 0.02203945 8.67456e-05
1.5 0.01654009 7.266459e-05
1.6 0.01265766 6.161424e-05
1.7 0.009682869 5.232173e-05
1.8 0.007647805 4.522165e-05
1.9 0.005945164 3.8835e-05
2.0 0.004828233 3.412621e-05
2.1 0.003855942 2.978029e-05
2.2 0.003147674 2.630041e-05
2.3 0.002491325 2.289457e-05
2.4 0.002075206 2.046294e-05
2.5 0.001493644 1.062662e-05
2.75 0.0009670147 8.167157e-06
3.0 0.0006243112 6.291515e-06
3.25 0.0004423444 5.094992e-06
3.5 0.0002558585 2.607697e-06
4.0 0.00012953 1.741728e-06
4.5 7.466246e-05 1.249465e-06
5.0 3.48253e-05 5.641443e-07
6.0 1.374883e-05 3.254786e-07
7.0 5.755704e-06 1.956167e-07
8.0 3.03008e-06 1.333391e-07
9.0 1.457199e-06 8.728159e-08
10.0 3.650124e-07 1.780238e-08
15.0 4.070031e-08 4.881328e-09
20.0 4.519835e-09 9.911197e-10
30.0 2.928762e-10 1.4742e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 2.55777e-06 1.808617e-06
3.0 8.184865e-05 1.023108e-05
5.0 0.0007750044 3.14824e-05
7.0 0.003936409 7.09522e-05
9.0 0.0131009 0.0001294394
11.0 0.03271133 0.0002045337
13.0 0.0625183 0.0002827609
15.0 0.09367451 0.0003461198
17.0 0.1174349 0.0003875381
19.0 0.1247872 0.0003994853
21.0 0.1193264 0.0003906466
23.0 0.1056832 0.0003676367
25.0 0.08749621 0.000334511
27.0 0.06899586 0.0002970485
29.0 0.05262996 0.0002594372
31.0 0.03837167 0.0002215242
33.0 0.02691798 0.0001855398
35.0 0.01868196 0.0001545706
37.0 0.0124346 0.0001261048
39.0 0.008201491 0.0001024147
41.0 0.005027298 8.018315e-05
