BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.1596553 0.0005082451
1.5 0.1479479 0.0004892557
2.5 0.1295244 0.0004577805
3.5 0.1077388 0.0004175106
4.5 0.08815844 0.0003776709
5.5 0.07068305 0.0003381732
6.5 0.05686744 0.0003033286
7.5 0.04507587 0.0002700559
8.5 0.03628236 0.0002422865
9.5 0.02923784 0.0002174974
10.5 0.02379993 0.0001962318
11.5 0.01951077 0.0001776719
12.5 0.01544326 0.0001580706
13.5 0.01289985 0.0001444688
14.5 0.01029659 0.0001290708
15.5 0.00858642 0.0001178657
16.5 0.006678866 0.000103952
17.5 0.005528509 9.4577e-05
18.5 0.004554508 8.584248e-05
19.5 0.003768188 7.808143e-05
20.5 0.003036878 7.009631e-05
21.5 0.002606505 6.493978e-05
22.5 0.002180986 5.940295e-05
23.5 0.001700457 5.245228e-05
24.5 0.001394666 4.750252e-05
25.5 0.001160065 4.332341e-05
26.5 0.000982091 3.986184e-05
27.5 0.0008089712 3.617829e-05
28.5 0.0007167485 3.405375e-05
29.5 0.0005112698 2.876117e-05
30.5 0.0004611136 2.731401e-05
31.5 0.0003101056 1.29323e-05
34.5 0.0001482035 6.925096e-06
39.5 4.174291e-05 2.5988e-06
49.5 8.736889e-06 1.18894e-06
59.5 1.779737e-06 5.366108e-07
69.5 6.471769e-07 3.235885e-07
79.5 8.089712e-08 8.089712e-08
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 0.9255504 0.00093678
0.6 0.5011424 0.0006330612
0.7 0.2907528 0.0004484151
0.8 0.1805944 0.0003316836
0.9 0.1186047 0.0002541367
1.0 0.08083712 0.0001994793
1.1 0.05685451 0.0001598061
1.2 0.04084903 0.0001299071
1.3 0.03004161 0.0001071786
1.4 0.02253484 8.956451e-05
1.5 0.01697633 7.517593e-05
1.6 0.01306456 6.390982e-05
1.7 0.01016827 5.474676e-05
1.8 0.008004672 4.724185e-05
1.9 0.006395284 4.112174e-05
2.0 0.00511141 3.585391e-05
2.1 0.004118518 3.142634e-05
2.2 0.003314501 2.755526e-05
2.3 0.002723889 2.444242e-05
2.4 0.002236795 2.169138e-05
2.5 0.00161562 1.128546e-05
2.75 0.001046018 8.67392e-06
3.0 0.0007015754 6.811604e-06
3.25 0.0004815629 5.42954e-06
3.5 0.0002876274 2.823976e-06
4.0 0.0001490305 1.906108e-06
4.5 8.096692e-05 1.328655e-06
5.0 3.819921e-05 6.029851e-07
6.0 1.612375e-05 3.597255e-07
7.0 6.648677e-06 2.145248e-07
8.0 3.442348e-06 1.449015e-07
