BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.06682696 0.0003149379
1.5 0.08538415 0.0003559899
2.5 0.0965811 0.0003786126
3.5 0.0966568 0.000378761
4.5 0.08911845 0.0003636912
5.5 0.07826881 0.0003408343
6.5 0.06682845 0.0003149413
7.5 0.05613168 0.0002886377
8.5 0.04745048 0.0002653807
9.5 0.04087836 0.0002463178
10.5 0.03494891 0.0002277539
11.5 0.03073669 0.0002135884
12.5 0.02665509 0.000198902
13.5 0.02308406 0.0001850994
14.5 0.02029076 0.0001735394
15.5 0.01798725 0.0001633922
16.5 0.01567335 0.0001525211
17.5 0.01344109 0.0001412428
18.5 0.01177876 0.0001322205
19.5 0.01059139 0.0001253792
20.5 0.009423307 0.0001182635
21.5 0.008166173 0.0001100926
22.5 0.007039651 0.0001022173
23.5 0.006076393 9.496682e-05
24.5 0.005322409 8.887981e-05
25.5 0.0046085 8.270444e-05
26.5 0.004155813 7.853749e-05
27.5 0.003486431 7.193488e-05
28.5 0.003058975 6.738093e-05
29.5 0.002745805 6.383867e-05
30.5 0.002359908 5.918294e-05
31.5 0.001780073 2.967613e-05
34.5 0.000940698 1.671049e-05
39.5 0.0003450809 7.156645e-06
49.5 6.23372e-05 3.041744e-06
59.5 1.009269e-05 1.223918e-06
69.5 2.226329e-06 5.748356e-07
79.5 1.484219e-07 1.049501e-07
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.178456 0.001011002
0.6 0.7509824 0.0007416547
0.7 0.4813508 0.0005524069
0.8 0.3115656 0.0004172464
0.9 0.2062438 0.0003209738
1.0 0.1396043 0.0002510921
1.1 0.09677354 0.0001996985
1.2 0.06922902 0.0001619662
1.3 0.05077832 0.0001334591
1.4 0.03768175 0.0001109191
1.5 0.0284879 9.327036e-05
1.6 0.0217989 7.906569e-05
1.7 0.01694534 6.768666e-05
1.8 0.0132521 5.821322e-05
1.9 0.01053921 5.056449e-05
2.0 0.008376483 4.39604e-05
2.1 0.006673858 3.831215e-05
2.2 0.005451191 3.384805e-05
2.3 0.004407519 2.97821e-05
2.4 0.003675746 2.663418e-05
2.5 0.002612478 1.374366e-05
2.75 0.001671685 1.050375e-05
3.0 0.001104928 8.187725e-06
3.25 0.0007302058 6.403319e-06
3.5 0.0004298813 3.307171e-06
4.0 0.0002175128 2.207251e-06
