BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.08093144 0.0003474925
1.5 0.09853872 0.0003834337
2.5 0.1038772 0.0003936831
3.5 0.0988595 0.0003840573
4.5 0.08746945 0.0003612559
5.5 0.07535279 0.0003353022
6.5 0.06322568 0.000307138
7.5 0.05343805 0.0002823658
8.5 0.04529612 0.0002599664
9.5 0.03934447 0.0002422862
10.5 0.03320184 0.0002225706
11.5 0.02871236 0.0002069766
12.5 0.02504349 0.0001933011
13.5 0.02165512 0.0001797493
14.5 0.019062 0.000168644
15.5 0.0168195 0.0001584139
16.5 0.01451433 0.0001471585
17.5 0.01258665 0.0001370383
18.5 0.01104987 0.0001284001
19.5 0.009744358 0.0001205767
20.5 0.008283674 0.0001111727
21.5 0.007257167 0.0001040568
22.5 0.006394782 9.767865e-05
23.5 0.005438399 9.007874e-05
24.5 0.004668519 8.345961e-05
25.5 0.004159741 7.878072e-05
26.5 0.003634552 7.363973e-05
27.5 0.003037745 6.732284e-05
28.5 0.002657281 6.296591e-05
29.5 0.002345449 5.915614e-05
30.5 0.001976921 5.431021e-05
31.5 0.001499476 2.730838e-05
34.5 0.0007698804 1.5157e-05
39.5 0.0002531952 6.14631e-06
49.5 4.535729e-05 2.601419e-06
59.5 7.460081e-06 1.055015e-06
69.5 1.044411e-06 3.947504e-07
79.5 2.238024e-07 1.292124e-07
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.035442 0.0009500355
0.6 0.6702409 0.0007024291
0.7 0.4377391 0.0005281157
0.8 0.289329 0.0004030952
0.9 0.195216 0.0003130471
1.0 0.1351563 0.000247698
1.1 0.09610563 0.000199517
1.2 0.06971269 0.0001629524
1.3 0.05183456 0.0001351928
1.4 0.03919142 0.0001134099
1.5 0.02997644 9.59247e-05
1.6 0.02341235 8.215662e-05
1.7 0.01844855 7.080712e-05
1.8 0.01447585 6.099907e-05
1.9 0.01162046 5.323119e-05
2.0 0.009342686 4.654906e-05
2.1 0.0075601 4.088943e-05
2.2 0.006270811 3.639974e-05
2.3 0.00510679 3.213839e-05
2.4 0.004159829 2.840878e-05
2.5 0.003074625 1.494807e-05
2.75 0.001972029 1.143589e-05
3.0 0.001315226 8.95693e-06
3.25 0.0008958348 7.110963e-06
3.5 0.0005317955 3.687119e-06
4.0 0.0002732812 2.480668e-06
4.5 0.0001507382 1.741262e-06
5.0 7.166093e-05 7.936869e-07
6.0 2.678125e-05 4.451116e-07
7.0 1.242699e-05 2.819821e-07
8.0 5.600505e-06 1.776486e-07
9.0 3.163067e-06 1.261765e-07
10.0 7.625017e-07 2.514387e-08
15.0 7.430113e-08 6.487694e-09
20.0 1.041774e-08 1.46649e-09
30.0 9.230963e-10 2.503039e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 7.288341e-05 9.653643e-06
3.0 0.001123939 3.790952e-05
5.0 0.006950776 9.427435e-05
7.0 0.02574319 0.0001814296
9.0 0.06017101 0.0002773771
11.0 0.1019984 0.0003611384
13.0 0.1340032 0.0004139372
15.0 0.1437849 0.000428779
17.0 0.1349034 0.0004153252
19.0 0.1141252 0.0003820038
21.0 0.08900215 0.0003373472
23.0 0.06560658 0.0002896347
25.0 0.04552016 0.0002412564
27.0 0.03053815 0.0001976051
29.0 0.01975652 0.0001589396
31.0 0.01163194 0.0001219559
33.0 0.006811402 9.332439e-05
35.0 0.00381551 6.984788e-05
37.0 0.002246599 5.35969e-05
39.0 0.001104759 3.758467e-05
41.0 0.0005907392 2.748368e-05
43.0 0.0002723538 1.866137e-05
45.0 0.0001380949 1.328819e-05
47.0 4.731028e-05 7.777763e-06
49.0 1.917984e-05 4.952214e-06
51.0 1.406522e-05 4.240823e-06
53.0 5.114625e-06 2.557313e-06
55.0 1.278656e-06 1.278656e-06
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.03475388 0.0004713717
0.2 0.1547494 0.0009946639
0.4 0.3394896 0.001473246
0.6 0.5927914 0.001946762
0.8 0.914105 0.002417464
1.0 1.290484 0.002872356
1.2 1.703841 0.003300475
1.4 2.128701 0.00368909
1.6 2.555535 0.004042061
1.8 2.989121 0.004371532
2.0 3.399384 0.00466189
2.2 3.792041 0.004923777
2.4 4.168074 0.005162138
2.6 4.543341 0.005389513
2.8 4.903596 0.005599113
3.0 5.202175 0.005767059
3.2 5.413569 0.005883066
3.4 5.522855 0.005942152
3.6 5.567116 0.005965915
3.8 5.464619 0.00591074
4.0 5.21156 0.005772259
4.2 4.824703 0.005553889
4.4 4.312179 0.005250616
4.6 3.691621 0.004858145
4.8 3.04776 0.004414203
5.0 2.42118 0.003934373
5.2 1.8431 0.003432704
5.4 1.3414 0.002928472
