BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.05576068 0.0002869159
1.5 0.07653106 0.0003361316
2.5 0.09703569 0.0003784917
3.5 0.1084063 0.0004000533
4.5 0.1092685 0.000401641
5.5 0.09850611 0.0003813486
6.5 0.08359083 0.0003512933
7.5 0.06965435 0.0003206747
8.5 0.05593636 0.0002873675
9.5 0.04534228 0.0002587273
10.5 0.03605769 0.0002307223
11.5 0.02943491 0.0002084596
12.5 0.02412015 0.0001887038
13.5 0.01943283 0.0001693786
14.5 0.01582912 0.0001528688
15.5 0.01334152 0.0001403438
16.5 0.01080963 0.0001263269
17.5 0.008751637 0.0001136672
18.5 0.007513003 0.0001053167
19.5 0.006230079 9.590413e-05
20.5 0.005060832 8.643736e-05
21.5 0.004030359 7.713694e-05
22.5 0.003395541 7.080192e-05
23.5 0.00281387 6.445291e-05
24.5 0.002285346 5.808534e-05
25.5 0.001967937 5.390092e-05
26.5 0.001445319 4.61926e-05
27.5 0.001260779 4.314297e-05
28.5 0.001037854 3.914342e-05
29.5 0.0009359882 3.717284e-05
30.5 0.000779498 3.39233e-05
31.5 0.0005058863 1.577816e-05
34.5 0.0002359163 8.346117e-06
39.5 6.09721e-05 3.000241e-06
49.5 1.107242e-05 1.278532e-06
59.5 1.181058e-06 4.175669e-07
69.5 4.428966e-07 2.557065e-07
79.5 0.0 nan
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.004995 0.0009309698
0.6 0.6535187 0.0006899639
0.7 0.4276088 0.0005192273
0.8 0.2794478 0.0003940983
0.9 0.1845434 0.0003028238
1.0 0.1230267 0.0002350898
1.1 0.08398358 0.0001855582
1.2 0.05844203 0.0001484378
1.3 0.04179896 0.0001207793
1.4 0.03047364 9.948413e-05
1.5 0.0227307 8.309047e-05
1.6 0.01728435 7.021661e-05
1.7 0.01324182 5.967715e-05
1.8 0.01033572 5.127312e-05
1.9 0.008168357 4.439481e-05
2.0 0.006454551 3.849064e-05
2.1 0.005225917 3.381523e-05
