BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.1133432 0.0004174625
1.5 0.1282562 0.0004440777
2.5 0.1274967 0.0004427608
3.5 0.1147039 0.000419961
4.5 0.09740148 0.0003869925
5.5 0.07886126 0.0003482183
6.5 0.06449098 0.0003148975
7.5 0.05157064 0.0002815925
8.5 0.04125652 0.000251864
9.5 0.03327798 0.0002262029
10.5 0.02686625 0.0002032466
11.5 0.02179067 0.0001830438
12.5 0.01793902 0.0001660807
13.5 0.01477928 0.0001507462
14.5 0.01195627 0.0001355869
15.5 0.009623753 0.0001216444
16.5 0.008081554 0.0001114724
17.5 0.006662361 0.0001012124
18.5 0.005326199 9.04958e-05
19.5 0.004429786 8.252986e-05
20.5 0.003602565 7.442617e-05
21.5 0.003218168 7.034352e-05
22.5 0.002632348 6.361967e-05
23.5 0.002104956 5.689069e-05
24.5 0.001648293 5.034275e-05
25.5 0.001417655 4.668797e-05
26.5 0.001154727 4.21366e-05
27.5 0.001017882 3.956111e-05
28.5 0.0007933945 3.492725e-05
29.5 0.0007365038 3.365172e-05
30.5 0.0006442487 3.147361e-05
31.5 0.0004033601 1.437824e-05
34.5 0.0001934284 7.712494e-06
39.5 6.027338e-05 3.044266e-06
49.5 1.137814e-05 1.322682e-06
59.5 1.383828e-06 4.612759e-07
69.5 6.150345e-07 3.075173e-07
79.5 7.687931e-08 7.687931e-08
99.5 0.0 nan
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.141834 0.00101435
0.6 0.6069996 0.0006794011
0.7 0.3337895 0.0004685339
0.8 0.194528 0.000335694
0.9 0.1204356 0.0002496987
1.0 0.07899624 0.0001922706
1.1 0.05395625 0.0001517899
1.2 0.03770053 0.0001216622
1.3 0.02729021 9.958498e-05
1.4 0.01966292 8.155577e-05
1.5 0.0146827 6.815326e-05
1.6 0.01103206 5.725274e-05
1.7 0.008635898 4.918234e-05
1.8 0.006658201 4.19995e-05
1.9 0.005149401 3.597503e-05
2.0 0.00412951 3.141461e-05
2.1 0.003248952 2.721059e-05
2.2 0.002570116 2.365477e-05
2.3 0.00209896 2.091601e-05
2.4 0.001738909 1.864651e-05
2.5 0.001241304 9.642317e-06
2.75 0.000788659 7.341613e-06
3.0 0.0005259746 5.74964e-06
3.25 0.0003451816 4.481629e-06
3.5 0.0002047812 2.321873e-06
4.0 0.0001056332 1.565183e-06
4.5 5.623002e-05 1.079649e-06
5.0 2.600431e-05 4.85541e-07
6.0 1.047333e-05 2.827e-07
7.0 4.56721e-06 1.736124e-07
8.0 2.146133e-06 1.116331e-07
9.0 1.32008e-06 8.270144e-08
10.0 2.915951e-07 1.580302e-08
15.0 3.163812e-08 4.28e-09
20.0 3.609736e-09 8.806675e-10
30.0 2.845583e-10 1.428268e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 5.112481e-06 2.55624e-06
3.0 4.217797e-05 7.342242e-06
5.0 0.0003093051 1.988288e-05
7.0 0.001724184 4.694374e-05
9.0 0.006096634 8.827361e-05
11.0 0.01760611 0.0001500091
13.0 0.03876283 0.0002225838
15.0 0.06733265 0.0002933585
17.0 0.09629102 0.0003508155
19.0 0.1161543 0.000385304
21.0 0.120946 0.0003931711
23.0 0.1141643 0.0003819891
25.0 0.1012552 0.0003597449
27.0 0.08318134 0.000326061
29.0 0.06570049 0.0002897812
31.0 0.05100722 0.0002553299
33.0 0.03766365 0.0002194053
35.0 0.02705653 0.000185961
37.0 0.01917692 0.000156558
39.0 0.01294864 0.0001286465
41.0 0.008591524 0.0001047903
43.0 0.005517645 8.397746e-05
45.0 0.00342025 6.611725e-05
47.0 0.002157467 5.251192e-05
49.0 0.001289623 4.059918e-05
51.0 0.0007668721 3.130742e-05
53.0 0.0003962173 2.250363e-05
55.0 0.0002044992 1.616708e-05
57.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d65-x01-y02
0.0 0.003591518 0.000151499
0.2 0.0272623 0.0004173997
0.4 0.09220998 0.000767644
0.6 0.2381202 0.001233585
0.8 0.5076055 0.001801084
1.0 0.8864083 0.002380059
1.2 1.372318 0.002961408
1.4 1.928862 0.003510924
1.6 2.52478 0.004016822
1.8 3.136405 0.004476998
2.0 3.765598 0.004905551
2.2 4.389672 0.005296475
2.4 5.009835 0.005658256
2.6 5.611012 0.005988133
2.8 6.192326 0.006290683
3.0 6.746743 0.006566258
3.2 7.209717 0.006787814
3.4 7.5831 0.006961363
3.6 7.818262 0.007068479
3.8 7.928896 0.007118315
4.0 7.854177 0.007084696
4.2 7.594833 0.006966746
4.4 7.076453 0.006724789
4.6 6.292729 0.006341476
4.8 5.337993 0.005840632
5.0 4.307693 0.005246785
5.2 3.302235 0.004593829
5.4 2.424837 0.003936517
5.6 1.694525 0.00329075
5.8 1.14117 0.002700511
6.0 0.7502758 0.002189683
6.2 0.4769497 0.001745851
6.4 0.3069661 0.001400606
6.6 0.1974185 0.00112322
6.8 0.1300296 0.000911574
7.0 0.08953871 0.0007564431
7.2 0.06464732 0.000642756
7.4 0.04724571 0.0005494802
7.6 0.03670122 0.0004842963
7.8 0.02790776 0.0004223119
8.0 0 0
END

BEGIN HISTO1D ALEPH_1996_I428072_d17-x01-y01
0.2 0.0137 0.0003701351
0.3 0.03107 0.0005574047
0.4 0.06058 0.0007783315
0.5 0.10371 0.001018381
0.6 0.17431 0.001320265
0.7 0.26581 0.001630368
0.8 0.39243 0.001980985
0.9 0.54788 0.002340684
1.0 0.72115 0.002685424
1.1 0.92868 0.003047425
1.2 1.1595 0.003405143
1.3 1.41754 0.003765023
1.4 1.69578 0.004117985
1.5 1.98984 0.004460762
1.6 2.29432 0.004789906
1.7 2.62455 0.005123036
1.8 2.95434 0.005435384
1.9 3.28092 0.005727932
2.0 3.61605 0.00601336
2.1 3.97354 0.006303602
2.2 4.30379 0.006560328
2.3 4.63703 0.006809574
2.4 4.97123 0.007050695
2.5 5.29465 0.007276435
2.6 5.61024 0.007490154
2.7 5.91079 0.007688166
2.8 6.21505 0.007883559
2.9 6.50692 0.008066548
3.0 6.77728 0.008232424
3.1 7.06052 0.00840269
3.2 7.28837 0.008537195
3.3 7.50003 0.008660271
3.4 7.70064 0.008775329
3.5 7.85129 0.008860751
3.6 7.97324 0.0089293
3.7 8.06244 0.008979109
3.8 8.11173 0.009006514
3.9 8.12578 0.009014311
4.0 8.06285 0.008979337
4.1 7.96633 0.00892543
4.2 7.81611 0.008840877
4.3 7.60556 0.008720986
4.4 7.34248 0.008568827
4.5 6.97234 0.008350054
4.6 6.57218 0.008106898
4.7 6.11162 0.007817685
4.8 5.62715 0.007501433
4.9 5.11996 0.00715539
5.0 4.59539 0.006778931
5.1 4.06434 0.006375218
5.2 3.55524 0.005962583
5.3 3.07905 0.005548919
5.4 0 0
END

BEGIN HISTO1D EHS_1988_I265504_d06-x01-y01
0.0 801.0738 0.9827129
0.02 572.5267 0.8307843
0.04 439.4257 0.7278353
0.06 347.1322 0.646901
0.08 278.6432 0.5795816
0.1 228.2649 0.5245779
0.12 187.1802 0.4750293
0.14 156.9031 0.4349168
0.16 130.9684 0.3973504
0.18 111.2856 0.3662772
0.2 84.56895 0.2019416
0.25 58.20481 0.1675328
0.3 40.82819 0.1403138
0.35 29.46672 0.1192027
0.4 21.56659 0.1019791
0.45 16.14938 0.08824668
0.5 12.27382 0.07693257
0.55 9.528088 0.06778339
0.6 7.413574 0.05979078
0.65 5.816478 0.0529603
0.7 4.565612 0.04692129
0.75 3.734274 0.04243493
0.8 3.142113 0.03892524
0.85 2.554775 0.03509916
0.9 2.164181 0.03230481
0.95 1.753334 0.02907721
1.0 1.405657 0.01840963
1.1 1.069553 0.01605856
1.2 0.7807062 0.01371985
1.3 0.5875791 0.01190251
1.4 0.4858317 0.01082302
1.5 0.3647957 0.009378432
1.6 0.3028311 0.008544873
1.7 0.2329099 0.007493753
1.8 0.2013248 0.006967132
1.9 0.1670875 0.00634713
2.0 0.1228443 0.003848291
2.2 0.08607539 0.003221291
2.4 0.06280851 0.002751691
2.6 0.0430377 0.002277796
2.8 0.03737167 0.002122568
3.0 0.02332715 0.001185786
3.4 0.01314036 0.0008899775
3.8 0.01012652 0.0007812777
4.2 0.005364643 0.000568651
4.6 0.004159105 0.0005006974
5.0 0 0
END

