BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.1232264 0.0004424825
1.5 0.1044476 0.0004073741
2.5 0.08515709 0.0003678363
3.5 0.06973393 0.0003328636
4.5 0.0572041 0.0003014795
5.5 0.04820156 0.0002767418
6.5 0.04150924 0.0002568128
7.5 0.03607689 0.0002394191
8.5 0.03214761 0.0002260053
9.5 0.02845826 0.0002126417
10.5 0.02608289 0.0002035739
11.5 0.02358519 0.0001935815
12.5 0.02134806 0.0001841719
13.5 0.01979097 0.0001773282
14.5 0.01862315 0.0001720168
15.5 0.0169024 0.0001638772
16.5 0.01607937 0.0001598375
17.5 0.01469228 0.0001527879
18.5 0.0138756 0.0001484808
19.5 0.01297154 0.0001435621
20.5 0.0122343 0.0001394228
21.5 0.01146211 0.0001349511
22.5 0.01062001 0.0001298993
23.5 0.01009092 0.0001266221
24.5 0.00954911 0.0001231759
25.5 0.00888814 0.0001188365
26.5 0.008386057 0.0001154312
27.5 0.00805875 0.0001131561
28.5 0.007578911 0.0001097356
29.5 0.007008507 0.0001055254
30.5 0.006813076 0.0001040437
31.5 0.005951908 5.614508e-05
34.5 0.004700832 3.864974e-05
39.5 0.002827871 2.119698e-05
49.5 0.001225019 1.395133e-05
59.5 0.0004904843 8.827887e-06
69.5 0.0001655603 5.128877e-06
79.5 3.479626e-05 1.66263e-06
99.5 2.269815e-06 4.144096e-07
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.781992 0.001287581
0.6 1.020411 0.0008949116
0.7 0.6250469 0.0006513641
0.8 0.4058417 0.0004926582
0.9 0.2746759 0.0003832019
1.0 0.1914577 0.0003042101
1.1 0.1375593 0.0002463407
1.2 0.09991814 0.0002013309
1.3 0.07357915 0.0001662184
1.4 0.05473071 0.0001383081
1.5 0.04117019 0.0001160118
1.6 0.03135851 9.812346e-05
1.7 0.02417088 8.363863e-05
1.8 0.01862124 7.139693e-05
1.9 0.01447528 6.131071e-05
2.0 0.01134099 5.292716e-05
2.1 0.009030592 4.611578e-05
2.2 0.007137908 4.007483e-05
2.3 0.005788512 3.530897e-05
2.4 0.004551019 3.066487e-05
2.5 0.003234639 1.582632e-05
2.75 0.001963656 1.177796e-05
3.0 0.001239469 8.973215e-06
3.25 0.0008116282 6.986181e-06
3.5 0.0004536534 3.515162e-06
4.0 0.0002150147 2.271029e-06
4.5 0.0001114611 1.544915e-06
5.0 4.89817e-05 6.772448e-07
6.0 1.884425e-05 3.858998e-07
7.0 8.230911e-06 2.367969e-07
