BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.06914012 0.0003214985
1.5 0.07872726 0.000343065
2.5 0.07817412 0.0003418577
3.5 0.06912218 0.0003214568
4.5 0.05790105 0.0002942098
5.5 0.04834382 0.0002688341
6.5 0.04021426 0.0002451907
7.5 0.03486382 0.0002282976
8.5 0.03084389 0.0002147328
9.5 0.02722161 0.0002017302
10.5 0.02437971 0.0001909098
11.5 0.02214924 0.0001819673
12.5 0.02071258 0.0001759669
13.5 0.01867646 0.0001670941
14.5 0.01720542 0.0001603787
15.5 0.01569851 0.0001531945
16.5 0.01503326 0.0001499134
17.5 0.01409293 0.0001451492
18.5 0.01326024 0.0001407958
19.5 0.01236177 0.0001359422
20.5 0.0114947 0.0001310879
21.5 0.01092064 0.0001277726
22.5 0.01093858 0.0001278775
23.5 0.01004459 0.0001225406
24.5 0.009374855 0.0001183849
25.5 0.009156592 0.0001169986
26.5 0.008738005 0.0001142931
27.5 0.00826261 0.0001111405
28.5 0.008089195 0.0001099681
29.5 0.007781234 0.0001078545
30.5 0.0074359 0.000105434
31.5 0.006934094 5.878251e-05
34.5 0.006059347 4.256394e-05
39.5 0.004871456 2.69863e-05
49.5 0.003547824 2.303005e-05
59.5 0.002441708 1.91056e-05
69.5 0.001519621 1.507237e-05
79.5 0.0006036623 6.717318e-06
99.5 0.0001120503 2.8243e-06
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 2.354383 0.001434259
0.6 1.48187 0.001045648
0.7 0.9494304 0.0007785896
0.8 0.622658 0.0005919121
0.9 0.4217002 0.0004605544
1.0 0.2963056 0.0003670791
1.1 0.2137272 0.0002978103
1.2 0.1572016 0.0002449295
1.3 0.118408 0.0002045174
1.4 0.09012909 0.0001721494
1.5 0.06908019 0.0001457602
1.6 0.05364593 0.0001244886
1.7 0.04189493 0.0001068101
1.8 0.0329194 9.207838e-05
1.9 0.02604305 7.976864e-05
2.0 0.02067898 6.932494e-05
2.1 0.01649361 6.044917e-05
2.2 0.01313581 5.273559e-05
2.3 0.01062202 4.639629e-05
2.4 0.008641361 4.098663e-05
2.5 0.006056564 2.100725e-05
2.75 0.003675516 1.563227e-05
3.0 0.002292589 1.183745e-05
3.25 0.001455232 9.073743e-06
3.5 0.0007913102 4.504672e-06
4.0 0.0003592081 2.847899e-06
4.5 0.0001803699 1.907442e-06
5.0 7.258556e-05 8.006953e-07
6.0 2.482589e-05 4.293838e-07
7.0 1.026696e-05 2.566162e-07
8.0 4.679435e-06 1.624198e-07
9.0 2.459127e-06 1.113682e-07
10.0 5.758773e-07 2.188994e-08
15.0 6.364498e-08 6.005048e-09
20.0 8.627888e-09 1.337569e-09
30.0 7.169477e-10 2.179751e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 1.661648e-05 4.608581e-06
3.0 0.0002633072 1.834548e-05
5.0 0.002064278 5.136672e-05
7.0 0.009116055 0.0001079447
9.0 0.02744147 0.0001872844
11.0 0.05922623 0.0002751407
13.0 0.09574669 0.0003498321
15.0 0.1239103 0.0003979711
17.0 0.1348683 0.0004151955
19.0 0.1278254 0.0004042094
21.0 0.1105187 0.000375851
23.0 0.09039747 0.0003399194
25.0 0.06914244 0.000297283
27.0 0.05054604 0.00025418
29.0 0.03553625 0.0002131246
31.0 0.02404276 0.0001753033
33.0 0.01548783 0.0001406997
